REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2015,40,12029,84,43,1.05578,0.698312,0.357469
National,X,2015,41,13111,116,54,1.29662,0.884753,0.411868
National,X,2015,42,13441,97,52,1.10855,0.721672,0.386876
National,X,2015,43,13537,98,52,1.10807,0.723942,0.384132
National,X,2015,44,14687,97,68,1.12344,0.660448,0.462994
National,X,2015,45,15048,122,86,1.38224,0.810739,0.571505
National,X,2015,46,15250,84,98,1.19344,0.55082,0.642623
National,X,2015,47,15234,119,92,1.38506,0.781147,0.603912
National,X,2015,48,16201,145,81,1.39498,0.895006,0.499969
National,X,2015,49,16673,140,106,1.47544,0.839681,0.635758
National,X,2015,50,17358,244,192,2.51181,1.40569,1.10612
National,X,2015,51,16878,220,166,2.287,1.30347,0.983529
National,X,2015,52,18865,264,200,2.45958,1.39942,1.06016
National,X,2016,1,19786,396,184,2.93137,2.00142,0.92995
National,X,2016,2,18689,571,224,4.25384,3.05527,1.19857
National,X,2016,3,18798,716,315,5.48463,3.80892,1.67571
National,X,2016,4,20791,1035,412,6.95974,4.97812,1.98163
National,X,2016,5,22261,1572,587,9.69858,7.06168,2.6369
National,X,2016,6,24934,2265,864,12.5491,9.08398,3.46515
National,X,2016,7,27208,3135,1092,15.5359,11.5223,4.01353
National,X,2016,8,30966,4410,1276,18.3621,14.2414,4.12065
National,X,2016,9,33880,5523,1629,21.1098,16.3017,4.80815
National,X,2016,10,36781,6679,2018,23.6454,18.1588,5.48653
National,X,2016,11,34233,5047,1790,19.972,14.7431,5.22887
National,X,2016,12,30161,3919,1652,18.4709,12.9936,5.47727
National,X,2016,13,27603,2965,1514,16.2265,10.7416,5.48491
National,X,2016,14,23979,1971,1390,14.0164,8.21969,5.79674
National,X,2016,15,21683,1506,1364,13.2362,6.94553,6.29064
National,X,2016,16,19860,1123,1329,12.3464,5.65458,6.69184
National,X,2016,17,17970,701,1143,10.2615,3.90095,6.3606
National,X,2016,18,15380,427,822,8.12094,2.77633,5.3446
National,X,2016,19,14090,280,662,6.68559,1.98722,4.69837
National,X,2016,20,12545,224,505,5.81108,1.78557,4.02551
National,X,2016,21,11591,139,408,4.71918,1.19921,3.51997
National,X,2016,22,10067,82,226,3.0595,0.814543,2.24496
National,X,2016,23,9172,70,207,3.02006,0.763192,2.25687
National,X,2016,24,8364,59,94,1.82927,0.705404,1.12386
National,X,2016,25,7417,44,83,1.71228,0.593232,1.11905
National,X,2016,26,6298,26,51,1.22261,0.412829,0.809781
National,X,2016,27,5978,24,30,0.903312,0.401472,0.50184
National,X,2016,28,6328,24,31,0.869153,0.379267,0.489886
National,X,2016,29,5888,24,26,0.849185,0.407609,0.441576
National,X,2016,30,5756,20,25,0.781793,0.347464,0.434329
National,X,2016,31,5675,33,20,0.933921,0.581498,0.352423
National,X,2016,32,5773,22,30,0.900745,0.381084,0.51966
National,X,2016,33,5974,27,21,0.803482,0.451958,0.351523
National,X,2016,34,6264,63,25,1.40485,1.00575,0.399106
National,X,2016,35,7093,78,41,1.67771,1.09968,0.578035
National,X,2016,36,7732,57,56,1.46146,0.737196,0.724263
National,X,2016,37,8727,74,58,1.51255,0.847943,0.664604
National,X,2016,38,9418,97,67,1.74135,1.02994,0.711404
National,X,2016,39,10596,106,83,1.78369,1.00038,0.783314
National,X,2016,40,13380,120,90,1.56951,0.896861,0.672646
National,X,2016,41,14053,108,83,1.35914,0.768519,0.590621
National,X,2016,42,15110,115,97,1.40304,0.761085,0.641959
National,X,2016,43,15312,143,88,1.50862,0.933908,0.574713
National,X,2016,44,16652,201,118,1.91569,1.20706,0.708624
National,X,2016,45,17811,271,121,2.20089,1.52153,0.679355
National,X,2016,46,19060,347,144,2.57608,1.82057,0.755509
National,X,2016,47,18520,451,169,3.34773,2.43521,0.912527
National,X,2016,48,21542,532,183,3.3191,2.46959,0.849503
National,X,2016,49,20564,696,180,4.25987,3.38456,0.875316
National,X,2016,50,23476,1359,210,6.68342,5.78889,0.894531
National,X,2016,51,26934,2563,341,10.7819,9.51585,1.26606
National,X,2016,52,33273,4270,388,13.9993,12.8332,1.16611
National,X,2017,1,35028,4288,386,13.3436,12.2416,1.10198
National,X,2017,2,35198,4935,476,15.373,14.0207,1.35235
National,X,2017,3,36732,6062,655,18.2865,16.5033,1.78319
National,X,2017,4,38052,6254,797,18.5299,16.4354,2.0945
National,X,2017,5,41435,7779,1097,21.4215,18.774,2.64752
National,X,2017,6,47995,9702,1890,24.1525,20.2146,3.93791
National,X,2017,7,49356,9546,2552,24.5117,19.3411,5.1706
National,X,2017,8,47381,8763,2952,24.7251,18.4948,6.23035
National,X,2017,9,40431,5605,2389,19.772,13.8631,5.90883
National,X,2017,10,38487,4632,2785,19.2714,12.0352,7.23621
National,X,2017,11,36598,3795,3171,19.0338,10.3694,8.66441
National,X,2017,12,35188,3221,3715,19.7113,9.15369,10.5576
National,X,2017,13,32481,2345,3658,18.4816,7.21961,11.262
National,X,2017,14,28713,1443,2986,15.4251,5.0256,10.3995
National,X,2017,15,25001,902,2283,12.7395,3.60786,9.13163
National,X,2017,16,22091,567,1575,9.69626,2.56666,7.1296
National,X,2017,17,18795,326,946,6.76776,1.7345,5.03325
National,X,2017,18,16223,252,708,5.91752,1.55335,4.36417
National,X,2017,19,15302,232,584,5.33264,1.51614,3.81649
National,X,2017,20,14292,216,479,4.86286,1.51134,3.35153
National,X,2017,21,12821,180,378,4.35223,1.40395,2.94829
National,X,2017,22,11644,171,314,4.16524,1.46857,2.69667
National,X,2017,23,10662,136,225,3.38586,1.27556,2.1103
National,X,2017,24,9568,131,162,3.06229,1.36915,1.69314
National,X,2017,25,8455,107,117,2.64932,1.26552,1.3838
National,X,2017,26,7498,94,96,2.53401,1.25367,1.28034
