Year, Week, Virus,0-4 yr,5-24 yr,25-64 yr,65+ yr
2019,40,A (H3),4,10,15,20
2019,41,A (H3),2,12,12,27
2019,42,A (H3),14,15,20,26
2019,43,A (H3),4,13,23,22
2019,44,A (H3),7,13,16,17
2019,45,A (H3),6,23,11,15
2019,46,A (H3),13,4,11,21
2019,47,A (H3),6,20,23,20
2019,48,A (H3),12,21,20,22
2019,49,A (H3),13,16,22,24
2019,50,A (H3),9,16,23,25
2019,51,A (H3),6,13,12,14
2019,52,A (H3),9,11,19,33
2020,1,A (H3),8,10,36,29
2020,2,A (H3),7,13,24,28
2020,3,A (H3),5,19,12,17
2020,4,A (H3),6,26,15,24
2020,5,A (H3),5,27,23,22
2020,6,A (H3),4,38,22,18
2020,7,A (H3),4,20,11,14
2020,8,A (H3),3,23,11,24
2020,9,A (H3),3,11,13,14
2020,10,A (H3),4,12,5,14
2020,11,A (H3),1,8,4,3
2019,40,A (H1N1)pdm09,3,7,10,1
2019,41,A (H1N1)pdm09,5,6,11,8
2019,42,A (H1N1)pdm09,4,11,16,3
2019,43,A (H1N1)pdm09,4,13,25,3
2019,44,A (H1N1)pdm09,6,12,22,4
2019,45,A (H1N1)pdm09,5,20,52,9
2019,46,A (H1N1)pdm09,18,30,54,20
2019,47,A (H1N1)pdm09,40,42,92,25
2019,48,A (H1N1)pdm09,51,82,137,48
2019,49,A (H1N1)pdm09,67,98,191,59
2019,50,A (H1N1)pdm09,77,162,235,73
2019,51,A (H1N1)pdm09,101,240,363,94
2019,52,A (H1N1)pdm09,131,202,464,249
2020,1,A (H1N1)pdm09,116,137,515,260
2020,2,A (H1N1)pdm09,112,207,477,199
2020,3,A (H1N1)pdm09,158,308,558,234
2020,4,A (H1N1)pdm09,180,372,743,257
2020,5,A (H1N1)pdm09,205,523,937,386
2020,6,A (H1N1)pdm09,181,435,941,405
2020,7,A (H1N1)pdm09,137,394,751,370
2020,8,A (H1N1)pdm09,143,299,702,369
2020,9,A (H1N1)pdm09,117,232,492,323
2020,10,A (H1N1)pdm09,77,125,274,168
2020,11,A (H1N1)pdm09,28,50,94,58
2019,40,A (Subtyping not Performed),4,17,0,0
2019,41,A (Subtyping not Performed),3,13,4,2
2019,42,A (Subtyping not Performed),0,1,1,0
2019,43,A (Subtyping not Performed),0,1,1,1
2019,44,A (Subtyping not Performed),0,1,1,0
2019,45,A (Subtyping not Performed),0,0,4,2
2019,46,A (Subtyping not Performed),2,0,1,1
2019,47,A (Subtyping not Performed),0,2,2,2
2019,48,A (Subtyping not Performed),0,3,5,1
2019,49,A (Subtyping not Performed),0,0,2,0
2019,50,A (Subtyping not Performed),1,3,2,1
2019,51,A (Subtyping not Performed),0,2,7,7
2019,52,A (Subtyping not Performed),0,2,9,2
2020,1,A (Subtyping not Performed),2,2,10,5
2020,2,A (Subtyping not Performed),3,6,4,4
2020,3,A (Subtyping not Performed),5,11,14,6
2020,4,A (Subtyping not Performed),4,4,11,2
2020,5,A (Subtyping not Performed),3,2,12,6
2020,6,A (Subtyping not Performed),6,5,10,13
2020,7,A (Subtyping not Performed),5,8,19,7
2020,8,A (Subtyping not Performed),10,25,57,11
2020,9,A (Subtyping not Performed),8,20,33,9
2020,10,A (Subtyping not Performed),3,15,52,15
2020,11,A (Subtyping not Performed),3,4,21,15
2019,40,B (Victoria Lineage),6,39,11,0
2019,41,B (Victoria Lineage),16,40,11,3
2019,42,B (Victoria Lineage),15,37,16,2
2019,43,B (Victoria Lineage),12,55,22,3
2019,44,B (Victoria Lineage),12,70,20,4
2019,45,B (Victoria Lineage),21,123,39,7
2019,46,B (Victoria Lineage),40,175,56,9
2019,47,B (Victoria Lineage),44,246,84,11
2019,48,B (Victoria Lineage),85,252,110,12
2019,49,B (Victoria Lineage),112,272,162,22
2019,50,B (Victoria Lineage),87,443,180,32
2019,51,B (Victoria Lineage),131,555,246,34
2019,52,B (Victoria Lineage),194,624,333,78
2020,1,B (Victoria Lineage),189,344,418,129
2020,2,B (Victoria Lineage),126,341,338,66
2020,3,B (Victoria Lineage),137,455,291,64
2020,4,B (Victoria Lineage),142,558,259,48
2020,5,B (Victoria Lineage),110,521,220,68
2020,6,B (Victoria Lineage),76,389,169,56
2020,7,B (Victoria Lineage),70,294,135,50
2020,8,B (Victoria Lineage),43,261,120,36
2020,9,B (Victoria Lineage),42,190,86,36
2020,10,B (Victoria Lineage),15,112,48,16
2020,11,B (Victoria Lineage),4,23,21,4
2019,40,B (Yamagata Lineage),0,1,0,0
2019,41,B (Yamagata Lineage),0,0,2,0
2019,42,B (Yamagata Lineage),0,1,2,0
2019,43,B (Yamagata Lineage),0,1,2,1
2019,44,B (Yamagata Lineage),1,2,0,2
2019,45,B (Yamagata Lineage),1,3,1,3
2019,46,B (Yamagata Lineage),0,1,2,2
2019,47,B (Yamagata Lineage),1,2,2,2
2019,48,B (Yamagata Lineage),1,3,3,1
2019,49,B (Yamagata Lineage),0,4,4,4
2019,50,B (Yamagata Lineage),0,7,4,1
2019,51,B (Yamagata Lineage),1,5,5,4
2019,52,B (Yamagata Lineage),4,7,5,7
2020,1,B (Yamagata Lineage),4,4,7,6
2020,2,B (Yamagata Lineage),1,2,7,7
2020,3,B (Yamagata Lineage),1,3,4,3
2020,4,B (Yamagata Lineage),1,2,1,2
2020,5,B (Yamagata Lineage),0,2,1,2
2020,6,B (Yamagata Lineage),0,0,1,2
2020,7,B (Yamagata Lineage),0,2,3,3
2020,8,B (Yamagata Lineage),0,2,2,4
2020,9,B (Yamagata Lineage),0,0,3,4
2020,10,B (Yamagata Lineage),0,0,0,0
2020,11,B (Yamagata Lineage),0,0,0,0
2019,40,B (Lineage Unspecified),1,1,2,0
2019,41,B (Lineage Unspecified),0,3,1,0
2019,42,B (Lineage Unspecified),4,6,2,0
2019,43,B (Lineage Unspecified),3,9,3,0
2019,44,B (Lineage Unspecified),0,21,7,0
2019,45,B (Lineage Unspecified),3,48,10,0
2019,46,B (Lineage Unspecified),4,46,15,3
2019,47,B (Lineage Unspecified),16,81,34,5
2019,48,B (Lineage Unspecified),20,51,38,2
2019,49,B (Lineage Unspecified),20,83,63,6
2019,50,B (Lineage Unspecified),35,150,55,9
2019,51,B (Lineage Unspecified),35,164,56,4
2019,52,B (Lineage Unspecified),42,111,64,14
2020,1,B (Lineage Unspecified),29,70,73,26
2020,2,B (Lineage Unspecified),25,87,73,9
2020,3,B (Lineage Unspecified),30,135,68,5
2020,4,B (Lineage Unspecified),32,156,67,7
2020,5,B (Lineage Unspecified),24,196,62,0
2020,6,B (Lineage Unspecified),23,195,49,3
2020,7,B (Lineage Unspecified),19,156,66,9
2020,8,B (Lineage Unspecified),14,86,51,7
2020,9,B (Lineage Unspecified),6,29,15,6
2020,10,B (Lineage Unspecified),3,16,9,9
2020,11,B (Lineage Unspecified),1,8,6,1
2018,40,A (H3),1,2,3,5
2018,41,A (H3),1,2,3,5
2018,42,A (H3),2,4,6,6
2018,43,A (H3),4,6,12,11
2018,44,A (H3),2,7,7,4
2018,45,A (H3),7,10,4,4
2018,46,A (H3),6,14,8,8
2018,47,A (H3),10,12,16,12
2018,48,A (H3),7,19,13,17
2018,49,A (H3),14,35,22,10
2018,50,A (H3),29,73,39,18
2018,51,A (H3),44,98,50,43
2018,52,A (H3),49,61,72,79
2019,1,A (H3),43,60,85,106
2019,2,A (H3),28,67,61,61
2019,3,A (H3),44,151,78,70
2019,4,A (H3),57,240,106,97
2019,5,A (H3),70,380,186,144
2019,6,A (H3),100,541,261,268
2019,7,A (H3),103,595,277,281
2019,8,A (H3),116,609,366,326
2019,9,A (H3),147,673,424,395
2019,10,A (H3),180,616,432,406
2019,11,A (H3),161,585,472,482
2019,12,A (H3),129,389,384,355
2019,13,A (H3),98,323,269,311
2019,14,A (H3),81,254,189,269
2019,15,A (H3),72,207,142,177
2019,16,A (H3),43,125,76,86
2019,17,A (H3),28,79,43,49
2019,18,A (H3),18,41,44,36
2019,19,A (H3),6,36,29,20
2019,20,A (H3),9,24,26,16
2019,21,A (H3),13,20,19,14
2019,22,A (H3),8,17,16,11
2019,23,A (H3),4,13,21,14
2019,24,A (H3),5,16,15,17
2019,25,A (H3),4,13,16,18
2019,26,A (H3),7,8,14,19
2019,27,A (H3),9,10,9,12
2019,28,A (H3),7,3,14,15
2019,29,A (H3),6,14,9,23
2019,30,A (H3),4,7,7,9
2019,31,A (H3),5,9,5,9
2019,32,A (H3),6,6,6,15
2019,33,A (H3),11,8,4,9
2019,34,A (H3),5,9,9,12
2019,35,A (H3),1,4,11,16
2019,36,A (H3),2,7,15,28
2019,37,A (H3),5,9,21,31
2019,38,A (H3),6,5,23,24
2019,39,A (H3),3,9,25,21
2018,40,A (H1N1)pdm09,5,10,11,3
2018,41,A (H1N1)pdm09,13,20,12,4
2018,42,A (H1N1)pdm09,12,15,18,3
2018,43,A (H1N1)pdm09,15,29,21,8
2018,44,A (H1N1)pdm09,13,35,26,3
2018,45,A (H1N1)pdm09,15,47,35,6
2018,46,A (H1N1)pdm09,19,50,40,14
2018,47,A (H1N1)pdm09,40,59,66,15
2018,48,A (H1N1)pdm09,53,72,115,34
2018,49,A (H1N1)pdm09,56,115,105,32
2018,50,A (H1N1)pdm09,95,223,219,72
2018,51,A (H1N1)pdm09,153,385,375,102
2018,52,A (H1N1)pdm09,189,332,433,171
2019,1,A (H1N1)pdm09,144,162,464,215
2019,2,A (H1N1)pdm09,165,280,530,204
2019,3,A (H1N1)pdm09,159,409,540,161
2019,4,A (H1N1)pdm09,181,429,542,216
2019,5,A (H1N1)pdm09,216,437,618,213
2019,6,A (H1N1)pdm09,208,430,771,331
2019,7,A (H1N1)pdm09,192,413,670,293
2019,8,A (H1N1)pdm09,165,339,591,268
2019,9,A (H1N1)pdm09,196,265,527,244
