season,date_code,weekending,region,Respiratory_Virus,Number_Positive,Specimens_Tested,Percent_Positive
2009-2010,200940,10/10/09,Bay Area,Influenza_A,36,220,16.36
2009-2010,200940,10/10/09,Bay Area,Influenza_B,0,220,0.00
2009-2010,200940,10/10/09,Bay Area,Total_Influenza,36,220,16.36
2009-2010,200940,10/10/09,Bay Area,RSV,0,190,0.00
2009-2010,200940,10/10/09,California,Influenza_A,1077,3324,32.40
2009-2010,200940,10/10/09,California,Influenza_B,3,3324,0.09
2009-2010,200940,10/10/09,California,Total_Influenza,1080,3324,32.49
2009-2010,200940,10/10/09,California,RSV,2,2218,0.09
2009-2010,200940,10/10/09,Central,Influenza_A,202,787,25.67
2009-2010,200940,10/10/09,Central,Influenza_B,1,787,0.13
2009-2010,200940,10/10/09,Central,Total_Influenza,203,787,25.79
2009-2010,200940,10/10/09,Central,RSV,0,329,0.00
2009-2010,200940,10/10/09,Lower Southern,Influenza_A,21,150,14.00
2009-2010,200940,10/10/09,Lower Southern,Influenza_B,0,150,0.00
2009-2010,200940,10/10/09,Lower Southern,Total_Influenza,21,150,14.00
2009-2010,200940,10/10/09,Lower Southern,RSV,0,35,0.00
2009-2010,200940,10/10/09,Northern,Influenza_A,0,0,
2009-2010,200940,10/10/09,Northern,Influenza_B,0,0,
2009-2010,200940,10/10/09,Northern,Total_Influenza,0,0,
2009-2010,200940,10/10/09,Northern,RSV,0,0,
2009-2010,200940,10/10/09,Northern/Bay Area,Influenza_A,627,1510,41.52
2009-2010,200940,10/10/09,Northern/Bay Area,Influenza_B,1,1510,0.07
2009-2010,200940,10/10/09,Northern/Bay Area,Total_Influenza,628,1510,41.59
2009-2010,200940,10/10/09,Northern/Bay Area,RSV,2,1510,0.13
2009-2010,200940,10/10/09,Upper Southern,Influenza_A,17,158,10.76
2009-2010,200940,10/10/09,Upper Southern,Influenza_B,0,158,0.00
2009-2010,200940,10/10/09,Upper Southern,Total_Influenza,17,158,10.76
2009-2010,200940,10/10/09,Upper Southern,RSV,0,143,0.00
2009-2010,200940,10/10/09,Upper/Lower Southern,Influenza_A,174,499,34.87
2009-2010,200940,10/10/09,Upper/Lower Southern,Influenza_B,1,499,0.20
2009-2010,200940,10/10/09,Upper/Lower Southern,Total_Influenza,175,499,35.07
2009-2010,200940,10/10/09,Upper/Lower Southern,RSV,0,11,0.00
2009-2010,200941,10/17/09,Bay Area,Influenza_A,47,283,16.61
2009-2010,200941,10/17/09,Bay Area,Influenza_B,1,283,0.35
2009-2010,200941,10/17/09,Bay Area,Total_Influenza,48,283,16.96
2009-2010,200941,10/17/09,Bay Area,RSV,1,249,0.40
2009-2010,200941,10/17/09,California,Influenza_A,1457,3693,39.45
2009-2010,200941,10/17/09,California,Influenza_B,5,3693,0.14
2009-2010,200941,10/17/09,California,Total_Influenza,1462,3693,39.59
2009-2010,200941,10/17/09,California,RSV,8,2764,0.29
2009-2010,200941,10/17/09,Central,Influenza_A,195,585,33.33
2009-2010,200941,10/17/09,Central,Influenza_B,0,585,0.00
2009-2010,200941,10/17/09,Central,Total_Influenza,195,585,33.33
2009-2010,200941,10/17/09,Central,RSV,0,380,0.00
2009-2010,200941,10/17/09,Lower Southern,Influenza_A,44,202,21.78
2009-2010,200941,10/17/09,Lower Southern,Influenza_B,0,202,0.00
2009-2010,200941,10/17/09,Lower Southern,Total_Influenza,44,202,21.78
2009-2010,200941,10/17/09,Lower Southern,RSV,0,53,0.00
2009-2010,200941,10/17/09,Northern,Influenza_A,0,0,
2009-2010,200941,10/17/09,Northern,Influenza_B,0,0,
2009-2010,200941,10/17/09,Northern,Total_Influenza,0,0,
2009-2010,200941,10/17/09,Northern,RSV,0,0,
2009-2010,200941,10/17/09,Northern/Bay Area,Influenza_A,920,2070,44.44
2009-2010,200941,10/17/09,Northern/Bay Area,Influenza_B,4,2070,0.19
2009-2010,200941,10/17/09,Northern/Bay Area,Total_Influenza,924,2070,44.64
2009-2010,200941,10/17/09,Northern/Bay Area,RSV,4,2070,0.19
2009-2010,200941,10/17/09,Upper Southern,Influenza_A,0,0,
2009-2010,200941,10/17/09,Upper Southern,Influenza_B,0,0,
2009-2010,200941,10/17/09,Upper Southern,Total_Influenza,0,0,
2009-2010,200941,10/17/09,Upper Southern,RSV,0,0,
2009-2010,200941,10/17/09,Upper/Lower Southern,Influenza_A,251,553,45.39
2009-2010,200941,10/17/09,Upper/Lower Southern,Influenza_B,0,553,0.00
2009-2010,200941,10/17/09,Upper/Lower Southern,Total_Influenza,251,553,45.39
2009-2010,200941,10/17/09,Upper/Lower Southern,RSV,3,12,25.00
2009-2010,200942,10/24/09,Bay Area,Influenza_A,53,330,16.06
2009-2010,200942,10/24/09,Bay Area,Influenza_B,0,330,0.00
2009-2010,200942,10/24/09,Bay Area,Total_Influenza,53,330,16.06
2009-2010,200942,10/24/09,Bay Area,RSV,0,282,0.00
2009-2010,200942,10/24/09,California,Influenza_A,1398,3642,38.39
2009-2010,200942,10/24/09,California,Influenza_B,3,3642,0.08
2009-2010,200942,10/24/09,California,Total_Influenza,1401,3642,38.47
2009-2010,200942,10/24/09,California,RSV,1,2615,0.04
2009-2010,200942,10/24/09,Central,Influenza_A,162,498,32.53
2009-2010,200942,10/24/09,Central,Influenza_B,0,498,0.00
2009-2010,200942,10/24/09,Central,Total_Influenza,162,498,32.53
2009-2010,200942,10/24/09,Central,RSV,0,278,0.00
2009-2010,200942,10/24/09,Lower Southern,Influenza_A,54,251,21.51
2009-2010,200942,10/24/09,Lower Southern,Influenza_B,0,251,0.00
2009-2010,200942,10/24/09,Lower Southern,Total_Influenza,54,251,21.51
2009-2010,200942,10/24/09,Lower Southern,RSV,0,57,0.00
2009-2010,200942,10/24/09,Northern,Influenza_A,0,0,
2009-2010,200942,10/24/09,Northern,Influenza_B,0,0,
2009-2010,200942,10/24/09,Northern,Total_Influenza,0,0,
2009-2010,200942,10/24/09,Northern,RSV,0,0,
2009-2010,200942,10/24/09,Northern/Bay Area,Influenza_A,848,1969,43.07
2009-2010,200942,10/24/09,Northern/Bay Area,Influenza_B,1,1969,0.05
2009-2010,200942,10/24/09,Northern/Bay Area,Total_Influenza,849,1969,43.12
2009-2010,200942,10/24/09,Northern/Bay Area,RSV,1,1969,0.05
2009-2010,200942,10/24/09,Upper Southern,Influenza_A,0,0,
2009-2010,200942,10/24/09,Upper Southern,Influenza_B,0,0,
2009-2010,200942,10/24/09,Upper Southern,Total_Influenza,0,0,
2009-2010,200942,10/24/09,Upper Southern,RSV,0,0,
2009-2010,200942,10/24/09,Upper/Lower Southern,Influenza_A,281,594,47.31
2009-2010,200942,10/24/09,Upper/Lower Southern,Influenza_B,2,594,0.34
2009-2010,200942,10/24/09,Upper/Lower Southern,Total_Influenza,283,594,47.64
2009-2010,200942,10/24/09,Upper/Lower Southern,RSV,0,29,0.00
2009-2010,200943,10/31/09,Bay Area,Influenza_A,51,334,15.27
2009-2010,200943,10/31/09,Bay Area,Influenza_B,0,334,0.00
2009-2010,200943,10/31/09,Bay Area,Total_Influenza,51,334,15.27
2009-2010,200943,10/31/09,Bay Area,RSV,2,273,0.73
2009-2010,200943,10/31/09,California,Influenza_A,985,3013,32.69
2009-2010,200943,10/31/09,California,Influenza_B,1,3013,0.03
2009-2010,200943,10/31/09,California,Total_Influenza,986,3013,32.72
2009-2010,200943,10/31/09,California,RSV,8,2085,0.38
2009-2010,200943,10/31/09,Central,Influenza_A,101,366,27.60
2009-2010,200943,10/31/09,Central,Influenza_B,1,366,0.27
2009-2010,200943,10/31/09,Central,Total_Influenza,102,366,27.87
2009-2010,200943,10/31/09,Central,RSV,2,201,1.00
2009-2010,200943,10/31/09,Lower Southern,Influenza_A,57,238,23.95
2009-2010,200943,10/31/09,Lower Southern,Influenza_B,0,238,0.00
2009-2010,200943,10/31/09,Lower Southern,Total_Influenza,57,238,23.95
2009-2010,200943,10/31/09,Lower Southern,RSV,0,54,0.00
2009-2010,200943,10/31/09,Northern,Influenza_A,0,0,
2009-2010,200943,10/31/09,Northern,Influenza_B,0,0,
2009-2010,200943,10/31/09,Northern,Total_Influenza,0,0,
2009-2010,200943,10/31/09,Northern,RSV,0,0,
2009-2010,200943,10/31/09,Northern/Bay Area,Influenza_A,534,1539,34.70
2009-2010,200943,10/31/09,Northern/Bay Area,Influenza_B,0,1539,0.00
2009-2010,200943,10/31/09,Northern/Bay Area,Total_Influenza,534,1539,34.70
2009-2010,200943,10/31/09,Northern/Bay Area,RSV,3,1539,0.19
2009-2010,200943,10/31/09,Upper Southern,Influenza_A,0,0,
2009-2010,200943,10/31/09,Upper Southern,Influenza_B,0,0,
2009-2010,200943,10/31/09,Upper Southern,Total_Influenza,0,0,
2009-2010,200943,10/31/09,Upper Southern,RSV,0,0,
2009-2010,200943,10/31/09,Upper/Lower Southern,Influenza_A,242,536,45.15
2009-2010,200943,10/31/09,Upper/Lower Southern,Influenza_B,0,536,0.00
2009-2010,200943,10/31/09,Upper/Lower Southern,Total_Influenza,242,536,45.15
2009-2010,200943,10/31/09,Upper/Lower Southern,RSV,1,18,5.56
