AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2019-20,40,5.7,5.3,5.2,16,"2,698","52,442",> 100%
National,,All,2019-20,41,5.7,5.4,5.3,16,"2,766","52,850",> 100%
National,,All,2019-20,42,5.8,5.5,5.5,18,"2,976","54,108",> 100%
National,,All,2019-20,43,5.9,5.6,5.6,30,"2,983","53,896",> 100%
National,,All,2019-20,44,6,5.7,5.4,31,"2,904","53,953",> 100%
National,,All,2019-20,45,6.2,5.8,5.6,31,"3,056","55,435",> 100%
National,,All,2019-20,46,6.3,5.9,5.6,39,"3,089","55,651",> 100%
National,,All,2019-20,47,6.4,6,5.4,50,"2,988","55,938",> 100%
National,,All,2019-20,48,6.5,6.2,5.5,65,"2,966","55,160",> 100%
National,,All,2019-20,49,6.6,6.3,6,97,"3,272","56,402",> 100%
National,,All,2019-20,50,6.7,6.4,6.2,109,"3,409","56,641",> 100%
National,,All,2019-20,51,6.8,6.5,6.1,123,"3,302","56,316",> 100%
National,,All,2019-20,52,6.9,6.6,6.3,192,"3,411","57,071",> 100%
National,,All,2019-20,1,7,6.7,7.4,403,"3,930","58,200",> 100%
National,,All,2019-20,2,7.1,6.7,7.5,432,"3,920","58,309",> 100%
National,,All,2019-20,3,7.2,6.8,7.5,419,"3,804","56,397",> 100%
National,,All,2019-20,4,7.2,6.9,7.3,451,"3,621","55,454",> 100%
National,,All,2019-20,5,7.3,6.9,7.2,422,"3,450","54,045",> 100%
National,,All,2019-20,6,7.3,7,7.2,447,"3,416","53,905",> 100%
National,,All,2019-20,7,7.3,7,7.3,460,"3,354","52,588",> 100%
National,,All,2019-20,8,7.3,7,7.1,455,"3,167","50,975",> 100%
National,,All,2019-20,9,7.3,7,7.2,487,"2,910","46,919",98.6%
National,,All,2019-20,10,7.3,7,7.1,347,"2,258","36,706",77.1%
National,,All,2018-19,40,5.9,5.5,5.7,10,"2,969","52,357",> 100%
National,,All,2018-19,41,5.9,5.6,5.6,12,"2,866","51,849",> 100%
National,,All,2018-19,42,6,5.7,5.7,18,"2,987","52,979",> 100%
National,,All,2018-19,43,6.1,5.8,5.7,24,"3,065","53,763",> 100%
National,,All,2018-19,44,6.2,5.9,5.6,25,"3,003","53,638",> 100%
National,,All,2018-19,45,6.3,6,5.7,30,"3,020","53,561",> 100%
National,,All,2018-19,46,6.5,6.1,5.8,26,"3,142","54,698",> 100%
National,,All,2018-19,47,6.6,6.2,5.9,31,"3,178","54,847",> 100%
National,,All,2018-19,48,6.7,6.3,6,38,"3,287","55,060",> 100%
National,,All,2018-19,49,6.8,6.4,6.2,56,"3,399","55,967",> 100%
National,,All,2018-19,50,6.9,6.6,6.4,51,"3,552","56,387",> 100%
National,,All,2018-19,51,7,6.7,6.3,88,"3,490","56,528",> 100%
National,,All,2018-19,52,7.1,6.7,6.7,141,"3,635","56,026",> 100%
National,,All,2018-19,1,7.2,6.8,7.1,210,"3,917","58,287",> 100%
National,,All,2018-19,2,7.3,6.9,7.4,259,"4,054","58,347",> 100%
National,,All,2018-19,3,7.3,7,7.5,246,"4,094","58,194",> 100%
National,,All,2018-19,4,7.4,7,7.2,275,"3,894","57,832",> 100%
National,,All,2018-19,5,7.4,7.1,7.3,327,"3,888","58,122",> 100%
National,,All,2018-19,6,7.4,7.1,7.3,365,"3,890","58,488",> 100%
National,,All,2018-19,7,7.4,7.1,7.5,482,"3,890","57,916",> 100%
National,,All,2018-19,8,7.4,7.1,7.7,474,"3,973","57,854",> 100%
National,,All,2018-19,9,7.4,7.1,7.4,516,"3,753","57,914",> 100%
National,,All,2018-19,10,7.4,7,7.3,544,"3,746","58,486",> 100%
National,,All,2018-19,11,7.3,7,7.8,510,"3,979","57,866",> 100%
National,,All,2018-19,12,7.3,6.9,7.5,479,"3,795","57,085",> 100%
National,,All,2018-19,13,7.2,6.9,7.4,459,"3,711","56,670",> 100%
National,,All,2018-19,14,7.1,6.8,7,340,"3,634","56,592",> 100%
National,,All,2018-19,15,7.1,6.7,6.8,303,"3,446","55,465",> 100%
National,,All,2018-19,16,7,6.6,6.6,200,"3,410","54,447",> 100%
National,,All,2018-19,17,6.8,6.5,6.4,156,"3,266","53,616",> 100%
National,,All,2018-19,18,6.7,6.4,6.2,98,"3,221","53,962",> 100%
National,,All,2018-19,19,6.6,6.3,6.2,68,"3,228","53,450",> 100%
National,,All,2018-19,20,6.5,6.2,6,50,"3,154","53,549",> 100%
National,,All,2018-19,21,6.4,6,5.9,30,"3,147","53,663",> 100%
National,,All,2018-19,22,6.3,5.9,6,29,"3,120","52,690",> 100%
National,,All,2018-19,23,6.1,5.8,5.8,21,"3,041","53,109",> 100%
National,,All,2018-19,24,6,5.7,5.6,16,"2,929","52,616",> 100%
National,,All,2018-19,25,5.9,5.6,5.7,13,"2,949","52,264",> 100%
National,,All,2018-19,26,5.8,5.5,5.6,15,"2,896","52,180",> 100%
National,,All,2018-19,27,5.7,5.4,5.5,13,"2,855","52,326",> 100%
National,,All,2018-19,28,5.7,5.3,5.4,11,"2,768","51,903",> 100%
National,,All,2018-19,29,5.6,5.2,5.2,6,"2,676","51,612",> 100%
National,,All,2018-19,30,5.5,5.2,5.4,8,"2,759","51,597",> 100%
National,,All,2018-19,31,5.5,5.1,5.3,6,"2,731","51,345",> 100%
National,,All,2018-19,32,5.4,5.1,5.1,7,"2,636","51,637",> 100%
National,,All,2018-19,33,5.4,5.1,5.1,8,"2,600","50,912",> 100%
National,,All,2018-19,34,5.4,5.1,5.1,6,"2,593","50,954",> 100%
National,,All,2018-19,35,5.4,5.1,5.1,13,"2,610","51,102",> 100%
National,,All,2018-19,36,5.4,5.1,5,12,"2,578","51,767",> 100%
National,,All,2018-19,37,5.5,5.1,4.9,16,"2,511","51,532",> 100%
National,,All,2018-19,38,5.5,5.2,5.3,15,"2,706","51,655",> 100%
National,,All,2018-19,39,5.6,5.3,5.3,15,"2,771","52,658",> 100%
National,,All,2017-18,40,6.1,5.7,5.8,16,"3,022","52,107",> 100%
National,,All,2017-18,41,6.2,5.8,5.9,18,"3,001","51,577",> 100%
National,,All,2017-18,42,6.3,5.9,6.1,28,"3,156","52,222",> 100%
National,,All,2017-18,43,6.4,6,6.3,23,"3,279","52,543",> 100%
National,,All,2017-18,44,6.5,6.1,6.1,36,"3,215","53,667",> 100%
National,,All,2017-18,45,6.6,6.2,6.1,45,"3,180","53,240",> 100%
National,,All,2017-18,46,6.7,6.3,6.3,50,"3,315","53,767",> 100%
National,,All,2017-18,47,6.8,6.5,6,48,"3,202","54,120",> 100%
National,,All,2017-18,48,6.9,6.6,6.5,83,"3,493","54,760",> 100%
National,,All,2017-18,49,7.1,6.7,6.6,118,"3,528","55,595",> 100%
National,,All,2017-18,50,7.2,6.8,6.8,165,"3,759","57,370",> 100%
National,,All,2017-18,51,7.3,6.9,7.3,359,"3,987","59,505",> 100%
National,,All,2017-18,52,7.4,7,8.3,671,"4,418","61,090",> 100%
National,,All,2017-18,1,7.5,7.1,9.6,"1,165","5,156","66,134",> 100%
National,,All,2017-18,2,7.5,7.2,10.5,"1,536","5,583","67,495",> 100%
National,,All,2017-18,3,7.6,7.2,10.9,"1,626","5,412","64,647",> 100%
National,,All,2017-18,4,7.6,7.3,10.6,"1,448","5,187","62,780",> 100%
