FIPS,hospitals,icu_beds,total_pop,60plus,
1001,1,6,55036,10523,
1003,3,51,203360,53519,
1005,1,5,26201,6150,
1007,1,0,22580,4773,
1009,1,6,57667,13600,
1011,1,0,10478,2371,
1013,1,7,20126,5151,
1015,2,24,115527,27115,
1017,0,0,33895,8501,
1019,1,0,25855,7513,
1021,1,6,43805,9429,
1023,1,0,13188,3759,
1025,2,0,24625,6134,
1027,1,4,13407,3480,
1029,0,0,14939,3691,
1031,1,7,51073,11027,
1033,2,22,54435,14062,
1035,1,0,12649,3542,
1037,0,0,10955,3145,
1039,2,13,37519,10290,
1041,1,0,13866,3371,
1043,1,12,81703,19667,
1045,1,6,49393,10498,
1047,1,18,40755,9436,
1049,1,12,71194,15782,
1051,2,5,80989,15929,
1053,2,14,37621,8677,
1055,2,56,103132,25122,
1057,2,12,16657,4604,
1059,2,7,31507,7054,
1061,1,6,26572,6716,
1063,1,0,8533,2352,
1065,1,0,14995,3945,
1067,0,0,17110,4834,
1069,2,66,104108,23474,
1071,1,10,52326,13441,
1073,8,471,659460,138161,
1075,0,0,14021,3811,
1077,1,48,92590,23452,
1079,1,6,33288,7710,
1081,1,28,156597,24513,
1083,1,10,91695,18399,
1085,0,0,10362,2481,
1087,0,0,19358,4854,
1089,2,100,353213,70040,
1091,1,5,19743,5124,
1093,1,4,30058,8196,
1095,1,20,94738,21466,
1097,4,157,414328,88103,
1099,1,8,21745,5536,
1101,3,88,227120,44214,
1103,1,34,119157,26739,
1105,0,0,9680,2278,
1107,1,4,20170,4974,
1109,1,9,33287,6441,
1111,1,0,22530,6129,
1113,1,8,58480,10680,
1115,1,6,86937,18943,
1117,1,32,208721,41610,
1119,1,0,13084,3005,
1121,2,14,80888,18842,
1123,2,6,40756,11006,
1125,1,84,204424,36426,
1127,1,12,64927,16386,
1129,1,0,16746,4103,
1131,1,0,10919,2751,
1133,1,4,23968,6575,
2013,0,0,3338,510,
2016,0,0,5784,707,
2020,3,73,298225,43608,
2050,1,0,17957,2082,
2060,0,0,917,164,
2068,0,0,2303,481,
2070,1,0,4974,701,
2090,1,13,100031,13950,
2100,0,0,2537,727,
2105,0,0,2146,645,
2110,1,9,32434,5907,
2122,3,6,57961,13154,
2130,1,4,13745,2951,
2150,1,0,13773,1915,
2158,0,0,8129,674,
2164,0,0,1301,189,
2170,1,14,101135,16358,
2180,1,0,9869,1151,
2185,1,0,9757,1157,
2188,1,0,7715,851,
2195,1,0,3275,778,
2198,0,0,6473,1381,
2220,2,0,8810,1829,
2230,0,0,1038,175,
2240,0,0,6889,1256,
2261,2,0,9439,1790,
2275,1,0,2475,756,
2282,0,0,682,142,
2290,0,0,5453,1058,
4001,4,0,71602,14107,
4003,4,12,126516,35231,
4005,3,41,138639,23195,
4007,3,8,53145,18752,
4009,1,0,37700,6933,
4011,0,0,9368,1631,
4012,2,3,20477,9183,
4013,34,1004,4155501,808534,
4015,4,80,204691,73559,
4017,4,12,107902,24267,
4019,9,296,1007257,245814,
4021,4,22,405537,100086,
4023,1,0,46358,10530,
4025,2,39,220972,85127,
4027,1,42,204281,45739,
5001,2,0,18352,4693,
5003,1,6,20771,5094,
5005,2,17,41093,15979,
5007,3,30,251823,44616,
5009,1,24,37212,9809,
5011,1,0,10994,2825,
5013,0,0,5194,1436,
5015,2,0,27782,7997,
5017,1,0,11008,2835,
5019,1,0,22495,5000,
5021,1,0,15190,4125,
5023,1,0,25361,8437,
5025,0,0,8332,2195,
5027,1,6,23992,5481,
5029,1,0,20954,5270,
5031,2,66,104246,19242,
5033,1,8,62119,13589,
5035,1,0,49278,9487,
5037,1,0,17164,4020,
5039,1,0,7585,2206,
5041,2,0,12094,3044,
5043,1,5,18620,3890,
5045,2,25,121282,19658,
5047,1,0,17803,4640,
5049,1,0,12092,4099,
5051,3,41,97994,28731,
5053,0,0,18076,4063,
5055,1,8,44197,9006,
5057,1,8,22154,5273,
5059,1,6,33480,8417,
5061,1,0,13472,3157,
5063,1,12,37097,8706,
5065,0,0,13521,4226,
5067,0,0,17429,4039,
5069,1,34,71373,15529,
5071,1,8,26155,5619,
5073,0,0,7051,2097,
5075,1,0,16777,4447,
5077,0,0,9614,2289,
5079,0,0,13885,2882,
5081,1,0,12494,3272,
5083,2,0,21802,5494,
5085,0,0,71568,12771,
5087,0,0,15907,3897,
5089,0,0,16374,6057,
5091,0,0,43760,9791,
5093,2,5,43534,8720,
5095,0,0,7420,2254,
5097,0,0,9059,3095,
5099,0,0,8528,2133,
5101,0,0,7898,2612,
5103,1,8,24378,6183,
5105,0,0,10320,2645,
5107,1,6,19518,4632,
5109,0,0,10893,3014,
5111,0,0,24098,5793,
5113,1,6,20212,5939,
5115,1,11,63372,12757,
5117,0,0,8309,2425,
5119,8,209,392848,79133,
5121,1,2,17514,4836,
5123,1,6,26688,5393,
5125,1,16,116252,26545,
5127,1,0,10584,2606,
