state,county,category,change,changecalc,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
Alaska,Anchorage,Retail & recreation,-45,-46.69643333333333,15.952,20.786,5.971,11.35,9.747,8.755,11.151,19.107,13.08,8.119,12.935,10.614,10.836,4.409,-3.125,0.593,-0.546,-20.826,-25.738,-30.89,-29.42,-38.244,-32.364,-41.324,-42.625,-43.463,-43.841,-47.862,-51.875,-50.542,-42.562,-40.571,-39.37,-48.036,-46.335,-50.208,-45.603,-41.07,-43.598,-42.458,-44.435,-44.548,-46.696
Alaska,Anchorage,Grocery & pharmacy,-4,-4.260221666666672,10.275,15.377,7.466,11.771,8.906,8.382,3.621,12.112,6.188,5.533,8.408,10.216,24.623,20.417,21.301,16.502,28.106,10.886,6.287,5.763,8.013,5.43,-1.5,-10.188,-13.187,-14.407,-11.526,-16.026,-17.626,-25.878,-15.809,-14.691,-7.596,-13.272,-12.404,-11.862,-13.501,-12.911,-14.691,-13.796,-10.478,-8.937,-4.26
Alaska,Anchorage,Parks,29,30.289598333333334,8.865,17.515,9.47,-8.152,3.592,3.623,1.64,19.947,34.108,,8.152,10.776,10.87,6.562,23.641,64.528,31.25,-0.906,5.388,-0.906,24.606,-10.343,112.463,19.886,19.928,10.776,48.007,-1.64,22.902,53.466,25.568,26.268,-1.796,-22.645,11.483,21.424,59.919,6.629,1.812,30.532,26.268,31.168,30.29
Alaska,Anchorage,Transit stations,-54,-55.73831000000001,16.143,21.323,7.458,4.834,7.645,1.848,9.407,10.051,11.186,5.533,2.659,2.15,-3.003,-3.212,0.609,6.991,-7.217,-11.359,-11.707,-25.407,-25.927,-22.844,-29.362,-38.972,-41.812,-42.766,-45.732,-52.772,-51.17,-54.88,-50.76,-46.887,-44.199,-52.199,-47.953,-49.951,-53.132,-50.038,-47.854,-49.694,-52.199,-53.46,-55.738
Alaska,Anchorage,Workplace,-40,-41.92872333333334,2.883,5.908,-0.368,3.583,3.303,3.314,-5.289,0.655,1.71,-12.403,-9.163,-8.892,-9.28,-10.741,-2.358,-2.799,-13.349,-18.12,-23.78,-27.89,-30.171,-26.599,-26.586,-42.676,-47.348,-49.136,-49.916,-49.547,-39.701,-40.889,-54.08,-52.518,-52.337,-52.772,-51.598,-43.239,-41.356,-51.768,-52.518,-52.134,-52.568,-53.379,-41.929
Alaska,Anchorage,Residential,13,13.40026833333333,-1.766,-1.447,0.073,-0.265,-0.692,-1.237,2.335,-0.713,-0.83,3.101,2.539,2.602,2.774,4.069,1.866,1.318,5.333,9.853,12.184,13.496,14.917,10.386,7.127,18.309,20.788,21.551,21.291,23.832,13.955,11.33,21.473,22.502,22.707,24.145,24.475,14.658,10.895,21.36,22.905,22.467,22.482,24.281,13.4
South Carolina,Abbeville County,Workplace,-25,6.775068333333335,11.161,10.163,9.742,7.684,2.201,10.883,15.358,7.44,21.172,8.618,25.615,12.837,26.43,22.035,22.321,22.866,28.477,32.018,3.668,20.211,20.032,27.53,1.694,-2.998,-8.538,,16.325,,22.321,7.622,-0.749,-1.708,13.571,17.102,17.361,23.81,6.775,,,,,,
South Carolina,Aiken County,Retail & recreation,-32,-25.664253333333328,-3.019,-7.548,,-0.569,-0.551,-2.216,-1.849,6.039,-4.529,3.511,2.846,2.756,-0.554,1.849,,-3.019,-4.682,-10.815,-13.779,-18.839,-21.573,-13.587,-25.664,-18.727,-22.769,-24.25,-26.042,-28.969,-15.097,-31.703,-28.09,-33.584,-32.518,-33.799,-35.75,-19.626,-40.761,-32.772,-38.138,-41.336,-44.326,-51.159,-25.664
South Carolina,Aiken County,Grocery & pharmacy,-1,-33.55911333333334,15.599,18.46,10.795,15.287,5.498,1.639,10.693,10.297,11.867,11.013,11.498,10.954,10.069,9.985,4.858,4.183,1.175,-6.115,-16.535,-18.109,-19.97,-28.941,-34.055,-30.906,-32.21,-28.489,-27.281,-28.403,-30.138,-32.646,-25.117,-26.655,-24.199,-23.885,-27.087,-36.364,-36.647,-31.08,-32.512,-37.777,-33.291,-32.046,-33.559
South Carolina,Aiken County,Parks,-19,-1.2810650000000006,7.046,12.787,6.655,12.175,2.825,-2.336,10.944,6.966,8.027,10.559,9.56,11.653,17.823,31.633,19.536,26.882,29.369,21.916,14.036,18.947,15.737,4.964,-6.067,-1.153,-6.674,-4.767,-5.364,-2.237,-6.565,-11.387,-4.88,-4.239,0.883,5.624,4.873,-5.364,-11.294,-7.986,-3.878,-11.829,-5.71,-1.358,-1.281
South Carolina,Aiken County,Transit stations,-27,-19.841269999999998,5.787,21.024,-19.113,-7.716,-18.157,-20.833,34.341,41.336,43.005,25.803,17.361,25.803,26.515,19.46,34.722,13.379,-20.069,-10.61,-5.734,2.841,17.17,6.614,-16.246,-42.049,-35.687,-1.911,-2.841,13.736,-10.747,-0.956,-16.246,-38.58,-20.069,-19.886,1.145,-29.762,-11.468,-25.803,-21.219,-23.891,-10.417,-2.289,-19.841
