name,level,city,county,state,country_code,population,lat,long,url,aggregate,tz,cases,deaths,recovered,active,tested,growthFactor,date,country,location
Guam,country,,,,Guam,167772.0,13.445,144.7905,https://github.com/CSSEGISandData/COVID-19,county,Pacific/Guam,130.0,4.0,,,,,2020-04-10,,
Guam,country,,,,Guam,167772.0,13.445,144.7905,https://github.com/CSSEGISandData/COVID-19,county,Pacific/Guam,130.0,4.0,,,,,2020-04-11,,
Northern Mariana Islands,country,,,,Northern Mariana Islands,55144.0,17.326,145.469,https://github.com/CSSEGISandData/COVID-19,county,Etc/GMT-10,6.0,1.0,,,,,2020-04-10,,
Northern Mariana Islands,country,,,,Northern Mariana Islands,55144.0,17.326,145.469,https://github.com/CSSEGISandData/COVID-19,county,Etc/GMT-10,6.0,1.0,,,,,2020-04-11,,
United States Virgin Islands,country,,,,United States Virgin Islands,104901.0,18.047,-64.834,https://github.com/CSSEGISandData/COVID-19,county,America/St_Thomas,50.0,1.0,,,,,2020-04-10,,
United States Virgin Islands,country,,,,United States Virgin Islands,104901.0,18.047,-64.834,https://github.com/CSSEGISandData/COVID-19,county,America/St_Thomas,50.0,1.0,,,,,2020-04-11,,
"Lincoln County, Nevada, United States",county,,Lincoln County,Nevada,United States,5183.0,37.759757,-114.972699,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,1.0,,,,,,2020-04-10,,"Lincoln County, Nevada"
"Lincoln County, Nevada, United States",county,,Lincoln County,Nevada,United States,5183.0,37.759757,-114.972699,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,1.0,,,,,,2020-04-11,,"Lincoln County, Nevada"
"Carson City, Nevada, United States",city,Carson City,,Nevada,United States,,,,https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv,county,,14.0,,,,,,2020-04-10,,"Carson City, Nevada"
"Carson City, Nevada, United States",city,Carson City,,Nevada,United States,,,,https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv,county,,14.0,,,,,,2020-04-11,,"Carson City, Nevada"
"Sargent County, North Dakota, United States",county,,Sargent County,North Dakota,United States,3898.0,46.10884,-97.6181961287154,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,1.0,,,,,,2020-04-10,,"Sargent County, North Dakota"
"Sargent County, North Dakota, United States",county,,Sargent County,North Dakota,United States,3898.0,46.10884,-97.6181961287154,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,1.0,,,,,,2020-04-11,,"Sargent County, North Dakota"
Afghanistan,country,,,,Afghanistan,34940837.0,33.934,67.70400000000001,https://github.com/CSSEGISandData/COVID-19,country,Asia/Kabul,521.0,15.0,32.0,474.0,,,2020-04-10,,
Afghanistan,country,,,,Afghanistan,34940837.0,33.934,67.70400000000001,https://github.com/CSSEGISandData/COVID-19,country,Asia/Kabul,521.0,15.0,32.0,474.0,,,2020-04-11,,
Albania,country,,,,Albania,2873457.0,41.1555,20.1605,https://github.com/CSSEGISandData/COVID-19,country,Europe/Tirane,416.0,23.0,182.0,211.0,,,2020-04-10,,
Albania,country,,,,Albania,2873457.0,41.1555,20.1605,https://github.com/CSSEGISandData/COVID-19,country,Europe/Tirane,416.0,23.0,182.0,211.0,,,2020-04-11,,
Algeria,country,,,,Algeria,41318142.0,28.03,1.6639999999999997,https://github.com/CSSEGISandData/COVID-19,country,Africa/Algiers,1761.0,256.0,405.0,1100.0,,,2020-04-10,,
Algeria,country,,,,Algeria,41318142.0,28.03,1.6639999999999997,https://github.com/CSSEGISandData/COVID-19,country,Africa/Algiers,1761.0,256.0,405.0,1100.0,,,2020-04-11,,
Andorra,country,,,,Andorra,76177.0,42.545,1.601,https://github.com/CSSEGISandData/COVID-19,country,Europe/Andorra,601.0,26.0,71.0,504.0,,,2020-04-10,,
Andorra,country,,,,Andorra,76177.0,42.545,1.601,https://github.com/CSSEGISandData/COVID-19,country,Europe/Andorra,601.0,26.0,71.0,504.0,,,2020-04-11,,
Angola,country,,,,Angola,29784193.0,-11.2135,17.8785,https://github.com/CSSEGISandData/COVID-19,country,Africa/Luanda,19.0,2.0,2.0,15.0,,,2020-04-10,,
Angola,country,,,,Angola,29784193.0,-11.2135,17.8785,https://github.com/CSSEGISandData/COVID-19,country,Africa/Luanda,19.0,2.0,2.0,15.0,,,2020-04-11,,
Antigua and Barbuda,country,,,,Antigua and Barbuda,102012.0,17.333,-62.0095,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT+4,19.0,2.0,,17.0,,,2020-04-10,,
Antigua and Barbuda,country,,,,Antigua and Barbuda,102012.0,17.333,-62.0095,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT+4,19.0,2.0,,17.0,,,2020-04-11,,
Argentina,country,,,,Argentina,44938712.0,-38.4275,-63.599500000000006,https://github.com/CSSEGISandData/COVID-19,country,America/Argentina/Salta,1975.0,82.0,375.0,1518.0,,,2020-04-10,,
Argentina,country,,,,Argentina,44938712.0,-38.4275,-63.599500000000006,https://github.com/CSSEGISandData/COVID-19,country,America/Argentina/Salta,1975.0,82.0,375.0,1518.0,,,2020-04-11,,
Armenia,country,,,,Armenia,2930450.0,40.0705,45.040000000000006,https://github.com/CSSEGISandData/COVID-19,country,Asia/Yerevan,937.0,12.0,149.0,776.0,,,2020-04-10,,
Armenia,country,,,,Armenia,2930450.0,40.0705,45.040000000000006,https://github.com/CSSEGISandData/COVID-19,country,Asia/Yerevan,937.0,12.0,149.0,776.0,,,2020-04-11,,
Austria,country,,,,Austria,8809212.0,47.696000000000005,13.345999999999998,https://github.com/CSSEGISandData/COVID-19,country,Europe/Vienna,13555.0,319.0,6064.0,7172.0,,,2020-04-10,,
Austria,country,,,,Austria,8809212.0,47.696000000000005,13.345999999999998,https://github.com/CSSEGISandData/COVID-19,country,Europe/Vienna,13555.0,319.0,6064.0,7172.0,,,2020-04-11,,
Azerbaijan,country,,,,Azerbaijan,10000000.0,40.1505,47.81050000000001,https://github.com/CSSEGISandData/COVID-19,country,Asia/Baku,991.0,10.0,159.0,822.0,,,2020-04-10,,
Azerbaijan,country,,,,Azerbaijan,10000000.0,40.1505,47.81050000000001,https://github.com/CSSEGISandData/COVID-19,country,Asia/Baku,991.0,10.0,159.0,822.0,,,2020-04-11,,
The Bahamas,country,,,,The Bahamas,395361.0,24.0925,-76.5975,https://github.com/CSSEGISandData/COVID-19,country,America/Nassau,42.0,8.0,5.0,29.0,,,2020-04-10,,
The Bahamas,country,,,,The Bahamas,395361.0,24.0925,-76.5975,https://github.com/CSSEGISandData/COVID-19,country,America/Nassau,42.0,8.0,5.0,29.0,,,2020-04-11,,
Bahrain,country,,,,Bahrain,1492584.0,26.029,50.6055,https://github.com/CSSEGISandData/COVID-19,country,Asia/Bahrain,925.0,6.0,539.0,380.0,,,2020-04-10,,
Bahrain,country,,,,Bahrain,1492584.0,26.029,50.6055,https://github.com/CSSEGISandData/COVID-19,country,Asia/Bahrain,925.0,6.0,539.0,380.0,,,2020-04-11,,
Bangladesh,country,,,,Bangladesh,164669751.0,23.6125,90.344,https://github.com/CSSEGISandData/COVID-19,country,Asia/Dhaka,424.0,27.0,33.0,364.0,,,2020-04-10,,
Bangladesh,country,,,,Bangladesh,164669751.0,23.6125,90.344,https://github.com/CSSEGISandData/COVID-19,country,Asia/Dhaka,424.0,27.0,33.0,364.0,,,2020-04-11,,
Barbados,country,,,,Barbados,285719.0,13.1935,-59.5355,https://github.com/CSSEGISandData/COVID-19,country,America/Barbados,67.0,4.0,11.0,52.0,,,2020-04-10,,
Barbados,country,,,,Barbados,285719.0,13.1935,-59.5355,https://github.com/CSSEGISandData/COVID-19,country,America/Barbados,67.0,4.0,11.0,52.0,,,2020-04-11,,
Belarus,country,,,,Belarus,9504700.0,53.7165,27.9675,https://github.com/CSSEGISandData/COVID-19,country,Europe/Minsk,1981.0,19.0,169.0,1793.0,,,2020-04-10,,
Belarus,country,,,,Belarus,9504700.0,53.7165,27.9675,https://github.com/CSSEGISandData/COVID-19,country,Europe/Minsk,1981.0,19.0,169.0,1793.0,,,2020-04-11,,
