Entity,Code,Year,"Hospital beds (per 1,000 people) (per 1,000 people)"
Afghanistan,AFG,1960,0.170626997947693
Afghanistan,AFG,1970,0.199000000953674
Afghanistan,AFG,1981,0.275599986314774
Afghanistan,AFG,1987,0.3091000020504
Afghanistan,AFG,1990,0.2497999966
Afghanistan,AFG,2001,0.400000006
Afghanistan,AFG,2003,0.4
Afghanistan,AFG,2007,0.42
Afghanistan,AFG,2008,0.42
Afghanistan,AFG,2009,0.4
Afghanistan,AFG,2010,0.4
Afghanistan,AFG,2012,0.5
Albania,ALB,1960,5.1026759147644
Albania,ALB,1980,4.27169990539551
Albania,ALB,1981,4.18709993362427
Albania,ALB,1982,4.16069984436035
Albania,ALB,1983,4.08620023727417
Albania,ALB,1984,4.13899993896484
Albania,ALB,1985,4.13880014419556
Albania,ALB,1986,4.06969976425171
Albania,ALB,1987,3.97000002861023
Albania,ALB,1988,3.93549990653992
Albania,ALB,1989,4.13210010528564
Albania,ALB,1990,4.0248999596
Albania,ALB,1991,3.9986999035
Albania,ALB,1992,4.0134000778
Albania,ALB,1993,3.8313999176
Albania,ALB,1994,3.0171000957
Albania,ALB,1995,3.1900000572
Albania,ALB,1996,3.1400001049
Albania,ALB,1997,3.0499999523
Albania,ALB,1998,3.0499999523
Albania,ALB,1999,3.0299999714
Albania,ALB,2000,3.2599999905
Albania,ALB,2003,3.0999999046
Albania,ALB,2005,3
Albania,ALB,2006,2.9692
Albania,ALB,2007,2.9
Albania,ALB,2009,2.8
Albania,ALB,2011,2.43
Albania,ALB,2012,2.6
Algeria,DZA,1960,3.18740749359131
Algeria,DZA,1970,2.84249997138977
Algeria,DZA,1986,2.48839998245239
Algeria,DZA,1988,2.62899994850159
Algeria,DZA,1989,2.56439995765686
Algeria,DZA,1990,2.4993000031
Algeria,DZA,1994,2.1031999588
Algeria,DZA,1998,2.0999999046
Algeria,DZA,2004,1.7
Andorra,AND,1996,3.1800000668
Andorra,AND,1997,3
Andorra,AND,1998,3.0899999142
Andorra,AND,1999,3.2000000477
Andorra,AND,2000,3.2000000477
Andorra,AND,2001,2.5899999142
Andorra,AND,2003,3.2999999523
Andorra,AND,2005,2.7
Andorra,AND,2006,2.6
Andorra,AND,2007,2.6
Andorra,AND,2009,2.5
Angola,AGO,1960,2.06146168708801
Angola,AGO,1970,2.72099995613098
Angola,AGO,1990,1.2913000584
Angola,AGO,2005,0.8
Antigua and Barbuda,ATG,1960,7.70642185211182
Antigua and Barbuda,ATG,1970,6.53000020980835
Antigua and Barbuda,ATG,1990,6.5999999046
Antigua and Barbuda,ATG,1993,6.1048002243
Antigua and Barbuda,ATG,1996,3.8800001144
Antigua and Barbuda,ATG,2001,2.6
Antigua and Barbuda,ATG,2002,2.3
Antigua and Barbuda,ATG,2003,2.5
Antigua and Barbuda,ATG,2004,2.4
Antigua and Barbuda,ATG,2005,2.4
Antigua and Barbuda,ATG,2006,2.4
Antigua and Barbuda,ATG,2007,2
Antigua and Barbuda,ATG,2008,1.7
Antigua and Barbuda,ATG,2009,2.2
Antigua and Barbuda,ATG,2010,2.2
Antigua and Barbuda,ATG,2011,2.1
Arab World,,1960,1.93123183524938
Arab World,,1970,1.91972956377456
Arab World,,1975,1.58645757257059
Arab World,,1981,1.71004167319475
Arab World,,1990,1.79564695093954
Arab World,,2007,1.57588148424751
