Entity,Code,Year,"Physicians (per 1,000 people) (per 1,000 people)"
Afghanistan,AFG,1960,0.035
Afghanistan,AFG,1965,0.063
Afghanistan,AFG,1970,0.065
Afghanistan,AFG,1981,0.077
Afghanistan,AFG,1986,0.183
Afghanistan,AFG,1987,0.179
Afghanistan,AFG,1989,0.129
Afghanistan,AFG,1990,0.109
Afghanistan,AFG,1993,0.143
Afghanistan,AFG,1997,0.11
Afghanistan,AFG,2001,0.2
Afghanistan,AFG,2006,0.168
Afghanistan,AFG,2007,0.183
Afghanistan,AFG,2008,0.182
Afghanistan,AFG,2009,0.222
Afghanistan,AFG,2010,0.247
Afghanistan,AFG,2011,0.263
Afghanistan,AFG,2012,0.253
Afghanistan,AFG,2013,0.299
Afghanistan,AFG,2014,0.315
Afghanistan,AFG,2015,0.302
Afghanistan,AFG,2016,0.295
Albania,ALB,1960,0.276
Albania,ALB,1965,0.481
Albania,ALB,1970,0.739
Albania,ALB,1971,0.911
Albania,ALB,1972,0.845
Albania,ALB,1977,1.036
Albania,ALB,1980,1.367
Albania,ALB,1983,1.415
Albania,ALB,1984,1.407
Albania,ALB,1985,1.406
Albania,ALB,1989,1.403
Albania,ALB,1990,1.374
Albania,ALB,1991,1.47
Albania,ALB,1992,1.65
Albania,ALB,1993,1.425
Albania,ALB,1995,1.306
Albania,ALB,1996,1.354
Albania,ALB,1997,1.295
Albania,ALB,1998,1.289
Albania,ALB,1999,1.282
Albania,ALB,2000,1.389
Albania,ALB,2002,1.305
Albania,ALB,2007,1.146
Albania,ALB,2009,1.144
Albania,ALB,2010,1.254
Albania,ALB,2011,1.24
Albania,ALB,2012,1.283
Albania,ALB,2013,1.286
Algeria,DZA,1960,0.173
Algeria,DZA,1965,0.116
Algeria,DZA,1970,0.123
Algeria,DZA,1979,0.38
Algeria,DZA,1984,0.427
Algeria,DZA,1988,0.429
Algeria,DZA,1990,0.942
Algeria,DZA,1993,0.821
Algeria,DZA,1995,0.846
Algeria,DZA,1998,1
Algeria,DZA,2002,1.106
Algeria,DZA,2005,1.021
Algeria,DZA,2007,1.192
Algeria,DZA,2010,1.207
American Samoa,ASM,1984,0.772
American Samoa,ASM,1999,0.781
