ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
1,Afghanistan,AFG,,,Asia,Public health measures,Health screenings in airports and border crossings,No,,2/12/20,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,3/14/20,
2,Afghanistan,AFG,Kabul,,Asia,Public health measures,Introduction of quarantine policies,No,,2/12/20,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,3/14/20,
3,Afghanistan,AFG,,,Asia,Public health measures,Awareness campaigns,No,,2/12/20,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,3/14/20,
4,Afghanistan,AFG,,,Asia,Social and economic measures,Emergency administrative structures activated or established,No,,2/12/20,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,3/14/20,
5,Afghanistan,AFG,,,Asia,Social distancing,Limit public gatherings,No,Nevruz festival cancelled,3/12/20,AA,Media,https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830,3/14/20,
6,Afghanistan,AFG,,,Asia,Movement restrictions,Border closure ,No,Closure of borders with Iran,2/24/20,Guardian,Media,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case,3/14/20,
8,Afghanistan,AFG,Herat,,Asia,Social distancing,Schools closure ,No,,3/1/20,OCHA 09/03/2020,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,3/14/20,
10,Afghanistan,AFG,Herat,,Asia,Social distancing,Limit public gatherings,No,all public gatherings banned,3/1/20,OCHA 09/03/2020,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,3/14/20,
12,Afghanistan,AFG,,,Asia,Public health measures,Strengthening the public health system,No,,3/1/20,OCHA 12/03/2020,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200312-sitrep-covid-19.pdf,3/14/20,
17,Afghanistan,AFG,,,Asia,Social and economic measures,Limit product imports/exports,No,Food imports from Iran and Afghanistan has been limited,3/1/20,US Embassy ,Government,https://af.usembassy.gov/covid-19-information/,3/14/20,
23,Afghanistan,AFG,,,Asia,Movement restrictions,Border checks ,Yes,All China and Iran nationals,2/1/20,US Embassy ,Government,https://af.usembassy.gov/covid-19-information/,3/14/20,
27,Albania,ALB,,,Europe,Movement restrictions,Flights suspension,Yes,Italy until 3rd April,3/9/20,Tirana Times 09/03/3030,Media,https://www.tiranatimes.com/?p=144490,3/14/20,
28,Albania,ALB,Tirana and Durres,,Europe,Movement restrictions,Travel restrictions,No,vehicle movement restrictions,3/16/20,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,3/14/20,
29,Albania,ALB,,,Europe,Social distancing,Schools closure ,No,"All schools are closed from March 10, 2020 until March 23, 2020",3/10/20,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,3/14/20,
