FIPS,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Percent Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!Under 5 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 5 years,Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Percent Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Percent Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Percent Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Percent Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Percent Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Percent Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Percent Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Percent Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Percent Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Percent Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Percent Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Estimate!!SEX AND AGE!!Total population!!85 years and over,Percent Estimate!!SEX AND AGE!!Total population!!85 years and over,Estimate!!SEX AND AGE!!Total population!!Median age (years),Estimate!!SEX AND AGE!!Total population!!Under 18 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 18 years,Estimate!!SEX AND AGE!!Total population!!16 years and over,Percent Estimate!!SEX AND AGE!!Total population!!16 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over,Estimate!!SEX AND AGE!!Total population!!21 years and over,Percent Estimate!!SEX AND AGE!!Total population!!21 years and over,Estimate!!SEX AND AGE!!Total population!!62 years and over,Percent Estimate!!SEX AND AGE!!Total population!!62 years and over,Estimate!!SEX AND AGE!!Total population!!65 years and over,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!65 years and over,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),Estimate!!RACE!!Total population,Percent Estimate!!RACE!!Total population,Estimate!!RACE!!Total population!!One race,Percent Estimate!!RACE!!Total population!!One race,Estimate!!RACE!!Total population!!Two or more races,Percent Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!One race,Percent Estimate!!RACE!!Total population!!One race,Estimate!!RACE!!Total population!!One race!!White,Percent Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Margin of Error!!RACE!!Total population!!One race!!Black or African American,Percent Estimate!!RACE!!Total population!!One race!!Black or African American,Percent Margin of Error!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Estimate!!RACE!!Total population!!One race!!Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Some other race,Percent Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!RACE!!Total population!!Two or more races,Percent Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American,Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population,Percent Estimate!!Race alone or in combination with one or more other races!!Total population,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Estimate!!Total housing units
1103,"Morgan County, Alabama",119089,119089,59216,49.7,59873,50.3,98.9,6941,5.8,8123,6.8,7325,6.2,7903,6.6,7421,6.2,13754,11.5,14793,12.4,15950,13.4,7894,6.6,8521,7.2,12050,10.1,5867,4.9,2547,2.1,40.7,27098,22.8,95485,80.2,91991,77.2,87590,73.6,25752,21.6,20464,17.2,91991,91991,44401,48.3,47590,51.7,93.3,20464,20464,8649,42.3,11815,57.7,73.2,119089,119089,117595,98.7,1494,1.3,117595,98.7,91390,76.7,17107,795,14.4,0.7,327,0.3,N,N,N,N,N,N,N,N,613,0.5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,8158,6.9,1494,1.3,538,0.5,331,0.3,434,0.4,0,0,119089,119089,92884,78,17794,14.9,807,0.7,1047,0.9,N,N,8200,6.9,119089,119089,10067,8.5,N,N,N,N,N,N,N,N,109022,91.5,89588,75.2,16962,14.2,279,0.2,613,0.5,0,0,86,0.1,1494,1.3,42,0,1452,1.2,52284
6031,"Kings County, California",151366,151366,83591,55.2,67775,44.8,123.3,10990,7.3,11819,7.8,11672,7.7,10792,7.1,11790,7.8,25319,16.7,21572,14.3,17598,11.6,8863,5.9,5538,3.7,8751,5.8,5250,3.5,1412,0.9,32,40773,26.9,114798,75.8,110593,73.1,103531,68.4,19049,12.6,15413,10.2,110593,110593,62677,56.7,47916,43.3,130.8,15413,15413,7012,45.5,8401,54.5,83.5,151366,151366,145868,96.4,5498,3.6,145868,96.4,96634,63.8,10428,1396,6.9,0.9,1502,1,N,N,N,N,N,N,N,N,6833,4.5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,273,0.2,N,N,N,N,N,N,N,N,30198,20,5498,3.6,1676,1.1,1188,0.8,767,0.5,12,0,151366,151366,101386,67,12375,8.2,2931,1.9,8058,5.3,615,0.4,31573,20.9,151366,151366,83200,55,80586,53.2,276,0.2,62,0,2276,1.5,68166,45,47706,31.5,9286,6.1,1046,0.7,6683,4.4,67,0,370,0.2,3008,2,13,0,2995,2,46649
6053,"Monterey County, California",435594,435594,221011,50.7,214583,49.3,103,30774,7.1,31438,7.2,33757,7.7,30063,6.9,31653,7.3,61898,14.2,57220,13.1,51007,11.7,24421,5.6,23872,5.5,34393,7.9,16735,3.8,8363,1.9,34.7,114103,26.2,333147,76.5,321491,73.8,302080,69.3,74816,17.2,59491,13.7,321491,321491,163335,50.8,158156,49.2,103.3,59491,59491,27073,45.5,32418,54.5,83.5,435594,435594,419461,96.3,16133,3.7,419461,96.3,205303,47.1,11753,1233,2.7,0.3,6540,1.5,N,N,N,N,N,N,N,N,25748,5.9,2492,0.6,4024,0.9,9335,2.1,1964,0.5,3596,0.8,2964,0.7,1373,0.3,2232,0.5,554,0.1,577,0.1,86,0,1015,0.2,167885,38.5,16133,3.7,2149,0.5,2363,0.5,4499,1,18,0,435594,435594,218580,50.2,15458,3.5,9383,2.2,34939,8,5405,1.2,171031,39.3,435594,435594,257572,59.1,239028,54.9,2875,0.7,566,0.1,15103,3.5,178022,40.9,128610,29.5,10904,2.5,1019,0.2,24563,5.6,2138,0.5,47,0,10741,2.5,323,0.1,10418,2.4,142414
6057,"Nevada County, California",99696,99696,48808,49,50888,51,95.9,3931,3.9,4439,4.5,6037,6.1,4260,4.3,3523,3.5,9913,9.9,11461,11.5,11607,11.6,7941,8,8838,8.9,17493,17.5,7101,7.1,3152,3.2,50.5,17079,17.1,84536,84.8,82617,82.9,80575,80.8,33053,33.2,27746,27.8,82617,82617,40029,48.5,42588,51.5,94,27746,27746,12775,46,14971,54,85.3,99696,99696,95778,96.1,3918,3.9,95778,96.1,91285,91.6,534,381,0.5,0.4,345,0.3,N,N,N,N,N,N,N,N,1249,1.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,158,0.2,N,N,N,N,N,N,N,N,2207,2.2,3918,3.9,23,0,1865,1.9,1390,1.4,0,0,99696,99696,95203,95.5,825,0.8,2522,2.5,3066,3.1,N,N,2420,2.4,99696,99696,9644,9.7,N,N,N,N,N,N,N,N,90052,90.3,84666,84.9,534,0.5,258,0.3,1249,1.3,158,0.2,0,0,3187,3.2,0,0,3187,3.2,54264
6089,"Shasta County, California",180040,180040,88679,49.3,91361,50.7,97.1,9933,5.5,11842,6.6,10347,5.7,10511,5.8,10406,5.8,22402,12.4,20206,11.2,20670,11.5,12905,7.2,13791,7.7,21481,11.9,11594,6.4,3952,2.2,41.5,38584,21.4,145037,80.6,141456,78.6,135347,75.2,45457,25.2,37027,20.6,141456,141456,68699,48.6,72757,51.4,94.4,37027,37027,16941,45.8,20086,54.2,84.3,180040,180040,172328,95.7,7712,4.3,172328,95.7,153562,85.3,2080,585,1.2,0.3,4384,2.4,N,N,N,N,N,N,N,N,5654,3.1,981,0.5,501,0.3,626,0.3,141,0.1,482,0.3,1380,0.8,1543,0.9,341,0.2,N,N,N,N,N,N,N,N,6307,3.5,7712,4.3,1160,0.6,3914,2.2,851,0.5,0,0,180040,180040,160377,89.1,3596,2,8371,4.6,7381,4.1,1058,0.6,7172,4,180040,180040,18560,10.3,14681,8.2,439,0.2,48,0,3392,1.9,161480,89.7,142589,79.2,2035,1.1,3662,2,5654,3.1,332,0.2,410,0.2,6798,3.8,269,0.1,6529,3.6,79187
6115,"Yuba County, California",78041,78041,39819,51,38222,49,104.2,5920,7.6,5294,6.8,6460,8.3,5556,7.1,5223,6.7,12263,15.7,9488,12.2,8455,10.8,4392,5.6,5607,7.2,5796,7.4,2558,3.3,1029,1.3,33.8,21261,27.2,59048,75.7,56780,72.8,54188,69.4,12898,16.5,9383,12,56780,56780,28463,50.1,28317,49.9,100.5,9383,9383,4222,45,5161,55,81.8,78041,78041,72780,93.3,5261,6.7,72780,93.3,60004,76.9,2132,717,2.7,0.9,1513,1.9,N,N,N,N,N,N,N,N,5721,7.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1025,1.3,N,N,N,N,N,N,N,N,2385,3.1,5261,6.7,1581,2,1603,2.1,249,0.3,234,0.3,78041,78041,64633,82.8,4742,6.1,3644,4.7,6229,8,1458,1.9,3252,4.2,78041,78041,22428,28.7,N,N,N,N,N,N,N,N,55613,71.3,42283,54.2,2090,2.7,1010,1.3,5626,7.2,1025,1.3,0,0,3579,4.6,232,0.3,3347,4.3,28688
8035,"Douglas County, Colorado",342776,342776,171478,50,171298,50,100.1,20193,5.9,23925,7,27069,7.9,25916,7.6,17236,5,38066,11.1,51438,15,55309,16.1,24119,7,19583,5.7,25884,7.6,10289,3,3749,1.1,39.1,88978,26,266177,77.7,253798,74,243957,71.2,50477,14.7,39922,11.6,253798,253798,125272,49.4,128526,50.6,97.5,39922,39922,18482,46.3,21440,53.7,86.2,342776,342776,332544,97,10232,3,332544,97,305784,89.2,5180,965,1.5,0.3,1497,0.4,N,N,N,N,N,N,N,N,16299,4.8,6139,1.8,3362,1,1998,0.6,464,0.1,1100,0.3,1495,0.4,1741,0.5,87,0,N,N,N,N,N,N,N,N,3697,1.1,10232,3,977,0.3,1507,0.4,5501,1.6,86,0,342776,342776,314710,91.8,6430,1.9,3651,1.1,23122,6.7,N,N,5268,1.5,342776,342776,30763,9,20232,5.9,2287,0.7,1716,0.5,6528,1.9,312013,91,280060,81.7,5099,1.5,1065,0.3,15885,4.6,87,0,1279,0.4,8538,2.5,636,0.2,7902,2.3,128744
9001,"Fairfield County, Connecticut",943823,943823,459662,48.7,484161,51.3,94.9,51774,5.5,55583,5.9,65106,6.9,65626,7,59920,6.3,107630,11.4,117323,12.4,138237,14.6,69219,7.3,63581,6.7,82023,8.7,45911,4.9,21890,2.3,40.8,211990,22.5,758754,80.4,731833,77.5,695465,73.7,187586,19.9,149824,15.9,731833,731833,351628,48,380205,52,92.5,149824,149824,64953,43.4,84871,56.6,76.5,943823,943823,913246,96.8,30577,3.2,913246,96.8,672515,71.3,108358,3869,11.5,0.4,2417,0.3,N,N,N,N,N,N,N,N,52072,5.5,21819,2.3,13491,1.4,2402,0.3,1691,0.2,2539,0.3,2197,0.2,7933,0.8,494,0.1,N,N,N,N,N,N,N,N,77390,8.2,30577,3.2,12540,1.3,1728,0.2,6481,0.7,221,0,943823,943823,699201,74.1,124714,13.2,6113,0.6,60454,6.4,840,0.1,85066,9,943823,943823,190436,20.2,20503,2.2,55886,5.9,4138,0.4,109909,11.6,753387,79.8,576736,61.1,100240,10.6,1309,0.1,51812,5.5,244,0,5243,0.6,17803,1.9,1521,0.2,16282,1.7,374480
10001,"Kent County, Delaware",178550,178550,85805,48.1,92745,51.9,92.5,10932,6.1,10379,5.8,12757,7.1,12428,7,11898,6.7,23990,13.4,20496,11.5,22390,12.5,12665,7.1,10803,6.1,17338,9.7,9494,5.3,2980,1.7,38.1,40645,22.8,141800,79.4,137905,77.2,129791,72.7,36324,20.3,29812,16.7,137905,137905,65216,47.3,72689,52.7,89.7,29812,29812,13200,44.3,16612,55.7,79.5,178550,178550,169594,95,8956,5,169594,95,116529,65.3,45522,1826,25.5,1,1556,0.9,N,N,N,N,N,N,N,N,4144,2.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,106,0.1,N,N,N,N,N,N,N,N,1737,1,8956,5,4504,2.5,829,0.5,1229,0.7,472,0.3,178550,178550,124330,69.6,52096,29.2,3845,2.2,6016,3.4,N,N,2301,1.3,178550,178550,13193,7.4,2631,1.5,5215,2.9,572,0.3,4775,2.7,165357,92.6,108519,60.8,43778,24.5,729,0.4,4071,2.3,30,0,283,0.2,7947,4.5,27,0,7920,4.4,73086
10003,"New Castle County, Delaware",559335,559335,271116,48.5,288219,51.5,94.1,32177,5.8,31169,5.6,35953,6.4,36653,6.6,36356,6.5,81197,14.5,69112,12.4,74341,13.3,39316,7,35968,6.4,51061,9.1,25867,4.6,10165,1.8,38.4,120253,21.5,453995,81.2,439082,78.5,413065,73.8,108428,19.4,87093,15.6,439082,439082,210239,47.9,228843,52.1,91.9,87093,87093,37820,43.4,49273,56.6,76.8,559335,559335,546143,97.6,13192,2.4,546143,97.6,353694,63.2,144954,2929,25.9,0.5,1512,0.3,N,N,N,N,N,N,N,N,31543,5.6,14169,2.5,6531,1.2,2233,0.4,471,0.1,1356,0.2,2134,0.4,4649,0.8,357,0.1,N,N,N,N,N,N,N,N,14083,2.5,13192,2.4,5447,1,774,0.1,3011,0.5,722,0.1,559335,559335,365076,65.3,152997,27.4,3623,0.6,35393,6.3,459,0.1,16030,2.9,559335,559335,57481,10.3,25765,4.6,17356,3.1,653,0.1,13707,2.5,501854,89.7,317314,56.7,140207,25.1,1415,0.3,31468,5.6,357,0.1,187,0,10906,1.9,790,0.1,10116,1.8,224481
12089,"Nassau County, Florida",85832,85832,42698,49.7,43134,50.3,99,3833,4.5,4041,4.7,6258,7.3,4668,5.4,3182,3.7,9429,11,10496,12.2,11482,13.4,7477,8.7,6179,7.2,11571,13.5,6057,7.1,1159,1.4,46.1,17088,19.9,71032,82.8,68744,80.1,66433,77.4,22574,26.3,18787,21.9,68744,68744,33676,49,35068,51,96,18787,18787,9087,48.4,9700,51.6,93.7,85832,85832,84336,98.3,1496,1.7,84336,98.3,78055,90.9,5011,795,5.8,0.9,430,0.5,N,N,N,N,N,N,N,N,805,0.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,35,0,1496,1.7,N,N,N,N,N,N,N,N,85832,85832,79380,92.5,5965,6.9,N,N,1296,1.5,N,N,N,N,85832,85832,3845,4.5,587,0.7,644,0.8,702,0.8,1912,2.2,81987,95.5,74416,86.7,5011,5.8,430,0.5,805,0.9,0,0,0,0,1325,1.5,135,0.2,1190,1.4,39981
