County FIPS,County Name,Area in square miles - Total area,Area in square miles - Land area,2010 Density per square mile of land area - Population,2010 Density per square mile of land area - Housing units
1001,Autauga County,604.39,594.44,91.8,37.2
1003,Baldwin County,2027.31,1589.78,114.6,65.5
1005,Barbour County,904.52,884.88,31,13.4
1007,Bibb County,626.17,622.58,36.8,14.4
1009,Blount County,650.63,644.78,88.9,37
1011,Bullock County,625.14,622.8,17.5,7.2
1013,Butler County,777.88,776.83,27,12.8
1015,Calhoun County,612.29,605.87,195.7,88
1017,Chambers County,603.11,596.53,57.4,28.5
1019,Cherokee County,599.98,553.7,46.9,29.4
1021,Chilton County,700.8,692.85,63,27.8
1023,Choctaw County,920.86,913.5,15.2,8
1025,Clarke County,1252.57,1238.46,20.9,10.2
1027,Clay County,606,603.96,23.1,11.2
1029,Cleburne County,561.01,560.1,26.7,12
1031,Coffee County,680.49,678.97,73.6,32.9
1033,Colbert County,622.13,592.62,91.8,43.5
1035,Conecuh County,852.72,850.16,15.6,8.3
1037,Coosa County,666.35,650.93,17.7,10
1039,Covington County,1043.79,1030.46,36.6,18.3
1041,Crenshaw County,610.92,608.84,22.8,11.1
1043,Cullman County,755.02,734.84,109.4,50.4
1045,Dale County,562.7,561.15,89.6,40.4
1047,Dallas County,993.8,978.69,44.8,20.6
1049,DeKalb County,778.69,777.09,91.5,40
1051,Elmore County,657.04,618.48,128.2,52.8
1053,Escambia County,953.14,945.08,40.5,17.4
1055,Etowah County,548.63,534.99,195.2,88.7
1057,Fayette County,629.36,627.66,27.5,13.4
1059,Franklin County,646.52,633.82,50,22.1
1061,Geneva County,578.95,574.41,46.6,22.1
1063,Greene County,659.94,647.11,14,7.7
1065,Hale County,656.5,643.94,24.5,11.9
1067,Henry County,568.31,561.75,30.8,15.8
1069,Houston County,581.65,579.82,175.1,78.2
1071,Jackson County,1126.77,1077.87,49.4,23
1073,Jefferson County,1123.81,1111.28,592.5,270.5
1075,Lamar County,605.46,604.85,24.1,12.2
1077,Lauderdale County,720.99,667.7,138.8,65.6
1079,Lawrence County,717.2,690.68,49.7,22
1081,Lee County,615.85,607.54,230.8,102.7
1083,Limestone County,607.19,559.94,147.8,62.5
1085,Lowndes County,725.07,715.91,15.8,7.2
1087,Macon County,613.21,608.89,35.2,16.8
1089,Madison County,812.7,801.59,417.7,182.7
1091,Marengo County,982.67,976.88,21.5,10.5
1093,Marion County,743.57,742.29,41.5,19.9
1095,Marshall County,623.18,565.84,164.4,71.3
1097,Mobile County,1644.01,1229.44,335.9,144.9
1099,Monroe County,1034.42,1025.67,22.5,11
1101,Montgomery County,799.91,784.25,292.5,129.6
1103,Morgan County,599.05,579.34,206.3,88.4
1105,Perry County,723.88,719.66,14.7,6.6
1107,Pickens County,890.13,881.41,22.4,10.8
1109,Pike County,673.01,672.09,48.9,22.7
1111,Randolph County,584.13,580.55,39.5,20.6
1113,Russell County,647.19,641.14,82.6,38.4
1115,St. Clair County,653.64,631.9,132.3,56.2
1117,Shelby County,809.53,784.93,248.5,103.2
1119,Sumter County,913.32,903.89,15.2,7.5
1121,Talladega County,760.31,736.78,111.7,50.3
1123,Tallapoosa County,766.25,716.52,58.1,30.9
1125,Tuscaloosa County,1351.25,1321.75,147.3,64.2
1127,Walker County,805.19,791.19,84.7,38.9
1129,Washington County,1088.57,1080.21,16.3,7.8
1131,Wilcox County,907.41,888.5,13.1,6.4
1133,Winston County,631.87,612.98,39.9,22
2013,Aleutians East Borough,15009.86,6981.94,0.4,0.1
2016,Aleutians West Census Area,14116.44,4390.28,1.3,0.4
2020,Anchorage Municipality,1961,1704.68,171.2,66.3
2050,Bethel Census Area,45504.21,40570,0.4,0.1
2060,Bristol Bay Borough,887.56,503.84,2,1.9
2068,Denali Borough,12776.92,12751.41,0.1,0.1
2070,Dillingham Census Area,20915.21,18568.78,0.3,0.1
2090,Fairbanks North Star Borough,7443.69,7338.21,13.3,5.7
2100,Haines Borough,2725.5,2318.6,1.1,0.7
2105,Hoonah-Angoon Census Area,10914.15,7524.91,0.3,0.2
2110,Juneau City and Borough,3253.89,2701.93,11.6,4.8
2122,Kenai Peninsula Borough,24752.32,16075.33,3.4,1.9
2130,Ketchikan Gateway Borough,6653.56,4858.41,2.8,1.3
2150,Kodiak Island Borough,12021.83,6549.58,2.1,0.8
2164,Lake and Peninsula Borough,32922.5,23652.01,0.1,0.1
2170,Matanuska-Susitna Borough,25257.61,24607.9,3.6,1.7
2180,Nome Census Area,28277.62,22961.76,0.4,0.2
