FIPS,total_pop,60plus
1001,55036,10523
1003,203360,53519
1005,26201,6150
1007,22580,4773
1009,57667,13600
1011,10478,2371
1013,20126,5151
1015,115527,27115
1017,33895,8501
1019,25855,7513
1021,43805,9429
1023,13188,3759
1025,24625,6134
1027,13407,3480
1029,14939,3691
1031,51073,11027
1033,54435,14062
1035,12649,3542
1037,10955,3145
1039,37519,10290
1041,13866,3371
1043,81703,19667
1045,49393,10498
1047,40755,9436
1049,71194,15782
1051,80989,15929
1053,37621,8677
1055,103132,25122
1057,16657,4604
1059,31507,7054
1061,26572,6716
1063,8533,2352
1065,14995,3945
1067,17110,4834
1069,104108,23474
1071,52326,13441
1073,659460,138161
1075,14021,3811
1077,92590,23452
1079,33288,7710
1081,156597,24513
1083,91695,18399
1085,10362,2481
1087,19358,4854
1089,353213,70040
1091,19743,5124
1093,30058,8196
1095,94738,21466
1097,414328,88103
1099,21745,5536
1101,227120,44214
1103,119157,26739
1105,9680,2278
1107,20170,4974
1109,33287,6441
1111,22530,6129
1113,58480,10680
1115,86937,18943
1117,208721,41610
1119,13084,3005
1121,80888,18842
1123,40756,11006
1125,204424,36426
1127,64927,16386
1129,16746,4103
1131,10919,2751
1133,23968,6575
2013,3338,510
2016,5784,707
2020,298225,43608
2050,17957,2082
2060,917,164
2068,2303,481
2070,4974,701
2090,100031,13950
2100,2537,727
2105,2146,645
2110,32434,5907
2122,57961,13154
2130,13745,2951
2150,13773,1915
2158,8129,674
2164,1301,189
2170,101135,16358
2180,9869,1151
2185,9757,1157
2188,7715,851
2195,3275,778
2198,6473,1381
2220,8810,1829
2230,1038,175
2240,6889,1256
2261,9439,1790
2275,2475,756
2282,682,142
2290,5453,1058
4001,71602,14107
4003,126516,35231
4005,138639,23195
4007,53145,18752
4009,37700,6933
4011,9368,1631
4012,20477,9183
4013,4155501,808534
4015,204691,73559
4017,107902,24267
4019,1007257,245814
4021,405537,100086
4023,46358,10530
4025,220972,85127
4027,204281,45739
5001,18352,4693
5003,20771,5094
5005,41093,15979
5007,251823,44616
5009,37212,9809
5011,10994,2825
5013,5194,1436
5015,27782,7997
5017,11008,2835
5019,22495,5000
5021,15190,4125
5023,25361,8437
5025,8332,2195
5027,23992,5481
5029,20954,5270
5031,104246,19242
5033,62119,13589
5035,49278,9487
5037,17164,4020
5039,7585,2206
5041,12094,3044
5043,18620,3890
5045,121282,19658
5047,17803,4640
5049,12092,4099
5051,97994,28731
5053,18076,4063
5055,44197,9006
5057,22154,5273
5059,33480,8417
5061,13472,3157
5063,37097,8706
5065,13521,4226
5067,17429,4039
5069,71373,15529
5071,26155,5619
5073,7051,2097
5075,16777,4447
5077,9614,2289
5079,13885,2882
5081,12494,3272
5083,21802,5494
5085,71568,12771
5087,15907,3897
5089,16374,6057
5091,43760,9791
5093,43534,8720
5095,7420,2254
5097,9059,3095
5099,8528,2133
5101,7898,2612
5103,24378,6183
5105,10320,2645
5107,19518,4632
5109,10893,3014
5111,24098,5793
5113,20212,5939
5115,63372,12757
5117,8309,2425
5119,392848,79133
5121,17514,4836
5123,26688,5393
5125,116252,26545
5127,10584,2606
5129,7925,2684
5131,127362,26807
5133,17206,3266
5135,17041,5487
5137,12443,4150
5139,40022,9680
5141,16751,5519
5143,223683,34691
5145,78706,16257
5147,6763,1975
5149,21601,4891
6001,1629615,300276
6003,1203,429
6005,37306,12967
6007,225207,53616
6009,45057,15872
6011,21479,4027
6013,1123678,231404
6015,27442,6262
6017,185015,49939
6019,971616,157757
6021,27935,6019
6023,135490,31200
6025,179957,30768
6027,18195,5588
6029,878744,130831
6031,150183,20569
6033,64095,19092
6035,31470,5929
6037,10105722,1800341
6039,154440,28392
6041,260814,72684
6043,17658,6311
6045,87497,24313
6047,267390,40383
6049,9017,3106
6051,14058,2723
6053,433168,76257
6055,141005,33686
6057,98838,33612
6059,3155816,598030
6061,374985,92327
6063,18724,6935
6065,2355002,437180
6067,1495400,279005
6069,58671,10074
6071,2121220,330448
6073,3283665,604412
6075,864263,179193
6077,724153,123774
6079,280119,70097
6081,763450,161619
6083,442996,86816
6085,1911226,338720
6087,273263,57232
6089,178919,47900
6091,2885,986
6093,43530,14018
6095,434981,90069
6097,500943,124291
6099,535684,92698
6101,95583,19219
6103,63247,15876
6105,13037,4734
6107,458809,69266
6109,53899,17942
6111,847834,167777
6113,212605,34981
6115,74644,12327
8001,487850,69778
8003,16345,2952
8005,626612,111767
8007,12592,4283
8009,3581,1178
8011,5806,1296
8013,316782,59425
8014,64283,11264
8015,18818,6312
8017,2127,380
8019,9257,2454
8021,8147,2034
8023,3628,1272
8025,5514,1074
8027,4505,2092
8029,30217,9773
8031,678467,109403
8033,1736,537
8035,320940,50139
8037,53726,8107
8039,24553,5592
8041,674826,116223
8043,46601,12609
8045,57945,10202
8047,5793,1583
8049,14793,3858
8051,16215,2905
8053,820,329
8055,6498,2568
8057,1372,398
8059,564029,124374
8061,1368,370
8063,7846,1873
8065,7481,1439
8067,54469,12490
8069,330976,67199
8071,14151,4307
8073,5520,1200
8075,21885,5056
8077,148798,35763
8079,834,394
8081,13056,2777
8083,25770,7299
8085,40908,12041
8087,28123,6047
8089,18325,4816
8091,4653,1815
8093,16900,4718
8095,4327,1037
8097,17747,4417
8099,12084,2840
8101,163368,39318
8103,6557,1362
8105,11430,2857
8107,24359,4914
8109,6338,1917
8111,569,164
8113,7804,1475
8115,2357,770
8117,29722,5667
8119,23769,6744
8121,4809,1285
8123,285729,48279
8125,10109,2385
9001,947328,197334
9003,897417,201242
9005,184454,50170
9007,164110,41372
9009,862127,194911
9011,270772,63495
9013,151596,31539
9015,116674,25482
10001,173145,36849
10003,555036,112051
10005,215551,71832
11001,672391,113026
12001,259865,47766
12003,27537,5367
12005,180117,40210
12007,26775,6394
12009,568183,170919
12011,1890416,406732
12013,14458,3483
12015,173236,81236
12017,141373,61636
12019,203291,41495
12021,356774,132129
12023,68484,17039
12027,35675,9739
12029,16323,5078
12031,912043,171837
12033,309924,68143
12035,105015,38651
12037,11675,3127
12039,46113,10880
12041,17191,4554
12043,13197,4162
12045,16018,3954
12047,14238,3247
12049,27326,5531
12051,39064,6808
12053,179144,61882
12055,100177,41387
12057,1351087,257269
12059,19483,4989
12061,147981,57277
12063,48571,12035
12065,14085,4326
12067,8684,1667
12069,326215,107419
12071,700165,239488
12073,285890,49057
12075,39713,12422
12077,8347,1621
12079,18518,4779
12081,363542,120595
12083,343778,119425
12085,155719,57914
12086,2702602,563748
12087,76745,22310
12089,78435,21894
12091,197591,41694
12093,40228,10230
12095,1290216,206342
12097,325168,57062
12099,1426772,414928
12101,498136,142985
12103,949842,293786
12105,652256,169578
12107,72435,21116
12109,226578,57092
12111,298763,87591
12113,166778,34353
12115,404839,174026
12117,449260,92794
12119,116754,74936
12121,43814,11617
12123,22350,5833
12125,15300,3196
12127,518660,160876
12129,31586,6317
12131,63457,16604
12133,24472,5555
13001,18471,4208
13003,8313,1451
13005,11279,2329
13007,3251,919
13009,45527,9287
13011,18363,4207
13013,75099,12454
