REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
National,X,1997,40,1291,0,0,0,0,0,0,0,0
National,X,1997,41,1513,0.727032,0,0,0,11,0,0,0
National,X,1997,42,1552,1.09536,0,0,3,13,0,1,0
National,X,1997,43,1669,0.419413,0,0,0,7,0,0,0
National,X,1997,44,1897,0.527148,0,0,9,1,0,0,0
National,X,1997,45,2106,0.2849,0,0,0,6,0,0,0
National,X,1997,46,2204,0.362976,0,0,3,4,0,1,0
National,X,1997,47,2533,0.908014,0,0,5,17,0,1,0
National,X,1997,48,2242,1.65031,0,0,14,22,0,1,0
National,X,1997,49,2607,1.53433,0,0,11,28,0,1,0
National,X,1997,50,3086,3.17563,0,0,37,59,0,2,0
National,X,1997,51,3410,7.1261,0,0,84,159,0,0,0
National,X,1997,52,3349,12.6008,0,0,111,311,0,0,0
National,X,1997,53,4402,17.9464,0,1,161,627,0,1,0
National,X,1998,1,5294,19.3049,0,0,211,808,0,3,0
National,X,1998,2,5501,20.9235,0,3,281,863,0,4,0
National,X,1998,3,6196,25.6133,0,1,453,1132,0,1,0
National,X,1998,4,6730,28.0684,0,0,589,1299,0,1,0
National,X,1998,5,6288,26.7176,0,0,413,1266,0,1,0
National,X,1998,6,5867,24.3736,0,1,363,1061,0,5,0
National,X,1998,7,4904,20.1264,0,0,226,757,0,4,0
National,X,1998,8,3975,14.239,0,0,93,469,0,4,0
National,X,1998,9,3169,9.6876,0,0,63,241,0,3,0
National,X,1998,10,2658,7.5997,0,0,47,149,0,6,0
National,X,1998,11,2234,5.41629,0,0,30,86,0,5,0
National,X,1998,12,2048,4.10156,0,0,12,66,0,6,0
National,X,1998,13,1683,2.79263,0,0,11,29,0,7,0
National,X,1998,14,1532,2.21932,0,0,6,22,0,6,0
National,X,1998,15,1357,2.87399,0,0,0,27,0,12,0
National,X,1998,16,1421,1.47783,0,0,1,16,0,4,0
National,X,1998,17,1236,1.2945,0,0,1,9,0,6,0
National,X,1998,18,1142,1.40105,0,0,3,8,0,5,0
National,X,1998,19,1038,0.867052,0,0,0,5,0,4,0
National,X,1998,20,938,0.959488,0,0,0,2,0,7,0
National,X,1998,21,0,0,0,0,0,0,0,0,0
National,X,1998,22,0,0,0,0,0,0,0,0,0
National,X,1998,23,0,0,0,0,0,0,0,0,0
National,X,1998,24,0,0,0,0,0,0,0,0,0
National,X,1998,25,0,0,0,0,0,0,0,0,0
National,X,1998,26,0,0,0,0,0,0,0,0,0
National,X,1998,27,0,0,0,0,0,0,0,0,0
National,X,1998,28,0,0,0,0,0,0,0,0,0
National,X,1998,29,0,0,0,0,0,0,0,0,0
National,X,1998,30,0,0,0,0,0,0,0,0,0
National,X,1998,31,0,0,0,0,0,0,0,0,0
National,X,1998,32,0,0,0,0,0,0,0,0,0
National,X,1998,33,0,0,0,0,0,0,0,0,0
National,X,1998,34,0,0,0,0,0,0,0,0,0
National,X,1998,35,0,0,0,0,0,0,0,0,0
National,X,1998,36,0,0,0,0,0,0,0,0,0
National,X,1998,37,0,0,0,0,0,0,0,0,0
National,X,1998,38,0,0,0,0,0,0,0,0,0
National,X,1998,39,0,0,0,0,0,0,0,0,0
National,X,1998,40,1407,0.142146,0,0,2,0,0,0,0
National,X,1998,41,1453,0.344116,0,0,4,1,0,0,0
National,X,1998,42,1654,0.181378,0,1,0,2,0,0,0
National,X,1998,43,1814,0.330761,0,0,1,0,0,5,0
National,X,1998,44,2051,0.877621,0,0,12,6,0,0,0
National,X,1998,45,2222,0.630063,0,0,5,5,0,4,0
National,X,1998,46,2051,0.390054,0,0,4,0,0,4,0
National,X,1998,47,1809,0.939746,0,0,5,4,0,8,0
National,X,1998,48,2397,1.16813,0,0,11,6,0,11,0
National,X,1998,49,2432,1.85033,0,0,9,15,0,21,0
National,X,1998,50,2428,1.72982,0,1,12,15,0,14,0
National,X,1998,51,2207,3.76076,0,0,21,35,0,27,0
National,X,1998,52,2706,5.91279,0,1,47,81,0,31,0
