st,stname,stfips,region,division
AL,Alabama,01,3,6
AK,Alaska,02,4,9
AZ,Arizona,04,4,8
AR,Arkansas,05,3,7
CA,California,06,4,9
CO,Colorado,08,4,8
CT,Connecticut,09,1,1
DE,Delaware,10,3,5
DC,District of Columbia,11,3,5
FL,Florida,12,3,5
GA,Georgia,13,3,5
HI,Hawaii,15,4,9
ID,Idaho,16,4,8
IL,Illinois,17,2,3
IN,Indiana,18,2,3
IA,Iowa,19,2,4
KS,Kansas,20,2,4
KY,Kentucky,21,3,6
LA,Louisiana,22,3,7
ME,Maine,23,1,1
MD,Maryland,24,3,5
MA,Massachusetts,25,1,1
MI,Michigan,26,2,3
MN,Minnesota,27,2,4
MS,Mississippi,28,3,6
MO,Missouri,29,2,4
MT,Montana,30,4,8
NE,Nebraska,31,2,4
NV,Nevada,32,4,8
NH,New Hampshire,33,1,1
NJ,New Jersey,34,1,2
NM,New Mexico,35,4,8
NY,New York,36,1,2
NC,North Carolina,37,3,5
ND,North Dakota,38,2,4
OH,Ohio,39,2,3
OK,Oklahoma,40,3,6
OR,Oregon,41,4,9
PA,Pennsylvania,42,1,2
RI,Rhode Island,44,1,1
SC,South Carolina,45,3,5
SD,South Dakota,46,2,4
TN,Tennessee,47,3,6
TX,Texas,48,3,7
UT,Utah,49,4,8
VT,Vermont,50,1,1
VA,Virginia,51,3,5
WA,Washington,53,4,9
WV,West Virginia,54,3,5
WI,Wisconsin,55,2,3
WY,Wyoming,56,4,8
