state,county,staffed_beds,licensed_beds,icu_beds,Name,FIPS
AK,Anchorage,1077,1014,60,"anchorage borough, ak",2020
AK,Bethel,34,50,0,"bethel census area, ak",2050
AK,Dillingham,16,16,0,"dillingham census area, ak",2070
AK,Fairbanks North Star,145,152,13,"fairbanks north star borough, ak",2090
AK,Juneau,45,73,9,"juneau city and borough, ak",2110
AK,Kenai Peninsula,76,77,6,"kenai peninsula borough, ak",2122
AK,Ketchikan Gateway,25,25,4,"ketchikan gateway borough, ak",2130
AK,Kodiak Island,24,25,0,"kodiak island borough, ak",2150
AK,Matanuska Susitna,74,74,14,"matanuska-susitna borough, ak",2170
AK,Nome,18,18,0,"nome census area, ak",2180
AK,North Slope,20,14,0,"north slope borough, ak",2185
AK,Northwest Arctic,17,17,0,"northwest arctic borough, ak",2188
AK,Petersburg,12,12,0,"petersburg borough, ak",2280
AK,Sitka,25,27,0,"sitka borough, ak",2220
AK,Valdez Cordova,24,24,0,"valdez-cordova census area, ak",2261
AK,Wrangell,8,8,0,"wrangell city and borough, ak",2280
AL,Autauga,55,85,6,"autauga county, al",1001
AL,Baldwin,362,410,44,"baldwin county, al",1003
AL,Barbour,30,74,5,"barbour county, al",1005
AL,Bibb,25,35,0,"bibb county, al",1007
AL,Blount,25,40,6,"blount county, al",1009
AL,Bullock,30,61,0,"bullock county, al",1011
AL,Butler,44,72,7,"butler county, al",1013
AL,Calhoun,413,486,24,"calhoun county, al",1015
AL,Chambers,0,115,0,"chambers county, al",1017
AL,Cherokee,45,60,0,"cherokee county, al",1019
AL,Chilton,26,30,6,"chilton county, al",1021
AL,Choctaw,25,25,0,"choctaw county, al",1023
AL,Clarke,56,85,0,"clarke county, al",1025
AL,Clay,46,53,4,"clay county, al",1027
AL,Coffee,99,131,7,"coffee county, al",1031
AL,Colbert,300,363,22,"colbert county, al",1033
AL,Conecuh,44,58,0,"conecuh county, al",1035
AL,Covington,128,187,13,"covington county, al",1039
AL,Crenshaw,57,93,0,"crenshaw county, al",1041
AL,Cullman,185,185,12,"cullman county, al",1043
AL,Dale,77,89,6,"dale county, al",1045
AL,Dallas,109,175,23,"dallas county, al",1047
AL,De Kalb,97,134,12,"de kalb county, al",1049
AL,Elmore,70,138,5,"elmore county, al",1051
AL,Escambia,95,142,14,"escambia county, al",1053
AL,Etowah,590,739,40,"etowah county, al",1055
AL,Fayette,45,61,8,"fayette county, al",1057
AL,Franklin,74,125,7,"franklin county, al",1059
AL,Geneva,73,83,6,"geneva county, al",1061
AL,Greene,20,20,0,"greene county, al",1063
AL,Hale,28,39,0,"hale county, al",1065
AL,Houston,769,782,66,"houston county, al",1069
AL,Jackson,92,170,10,"jackson county, al",1071
AL,Jefferson,3945,4750,281,"jefferson county, al",1073
AL,Lauderdale,233,358,36,"lauderdale county, al",1077
AL,Lawrence,43,98,6,"lawrence county, al",1079
AL,Lee,372,314,20,"lee county, al",1081
AL,Limestone,97,102,10,"limestone county, al",1083
AL,Macon,143,143,0,"macon county, al",1087
AL,Madison,1280,1241,58,"madison county, al",1089
AL,Marengo,37,99,5,"marengo county, al",1091
AL,Marion,97,120,8,"marion county, al",1093
AL,Marshall,240,240,20,"marshall county, al",1095
AL,Mobile,1490,1929,76,"mobile county, al",1097
AL,Monroe,49,94,8,"monroe county, al",1099
AL,Montgomery,1018,1226,58,"montgomery county, al",1101
AL,Morgan,320,393,23,"morgan county, al",1103
AL,Pike,97,97,9,"pike county, al",1109
AL,Randolph,15,0,0,"randolph county, al",1111
AL,Russell,105,128,8,"russell county, al",1113
AL,Saint Clair,40,40,6,"st. clair county, al",1115
AL,Shelby,246,286,32,"shelby county, al",1117
AL,Sumter,33,33,0,"sumter county, al",1119
AL,Talladega,207,285,14,"talladega county, al",1121
AL,Tallapoosa,80,127,6,"tallapoosa county, al",1123
AL,Tuscaloosa,981,1087,52,"tuscaloosa county, al",1125
AL,Walker,207,267,12,"walker county, al",1127
AL,Washington,15,25,0,"washington county, al",1129
AL,Wilcox,21,30,0,"wilcox county, al",1131
AL,Winston,49,59,4,"winston county, al",1133
AR,Arkansas,74,74,0,"arkansas county, ar",5001
AR,Ashley,25,33,6,"ashley county, ar",5003
AR,Baxter,170,268,17,"baxter county, ar",5005
AR,Benton,439,524,30,"benton county, ar",5007
AR,Boone,120,174,24,"boone county, ar",5009
AR,Bradley,25,33,0,"bradley county, ar",5011
AR,Carroll,40,40,0,"carroll county, ar",5015
AR,Chicot,35,25,0,"chicot county, ar",5017
AR,Clark,25,25,0,"clark county, ar",5019
AR,Clay,25,25,0,"clay county, ar",5021
AR,Cleburne,25,25,0,"cleburne county, ar",5023
AR,Columbia,30,49,6,"columbia county, ar",5027
AR,Conway,25,25,0,"conway county, ar",5029
AR,Craighead,553,666,66,"craighead county, ar",5031
AR,Crawford,35,103,8,"crawford county, ar",5033
AR,Crittenden,63,52,0,"crittenden county, ar",5035
AR,Cross,15,25,0,"cross county, ar",5037
AR,Dallas,22,25,0,"dallas county, ar",5039
AR,Desha,50,50,0,"desha county, ar",5041
AR,Drew,49,49,5,"drew county, ar",5043
AR,Faulkner,355,371,25,"faulkner county, ar",5045
AR,Franklin,25,25,0,"franklin county, ar",5047
AR,Fulton,25,25,0,"fulton county, ar",5049
AR,Garland,423,522,41,"garland county, ar",5051
AR,Greene,114,129,8,"greene county, ar",5055
AR,Hempstead,67,0,8,"hempstead county, ar",5057
AR,Hot Spring,64,72,6,"hot spring county, ar",5059
AR,Howard,20,20,0,"howard county, ar",5061
AR,Independence,184,224,12,"independence county, ar",5063
AR,Izard,25,25,0,"izard county, ar",5065
AR,Jackson,133,133,0,"jackson county, ar",5067
AR,Jefferson,271,471,34,"jefferson county, ar",5069
AR,Johnson,57,90,8,"johnson county, ar",5071
AR,Lawrence,25,25,0,"lawrence county, ar",5075
AR,Little River,25,25,0,"little river county, ar",5081
AR,Logan,40,41,0,"logan county, ar",5083
AR,Miller,50,62,0,"miller county, ar",5091
AR,Mississippi,124,25,5,"mississippi county, ar",5093
AR,Ouachita,82,98,8,"ouachita county, ar",5103
AR,Phillips,127,155,6,"phillips county, ar",5107
AR,Polk,41,65,6,"polk county, ar",5113
AR,Pope,137,170,11,"pope county, ar",5115
AR,Pulaski,3570,3887,144,"pulaski county, ar",5119
AR,Randolph,32,50,2,"randolph county, ar",5121
AR,Saint Francis,56,118,6,"st. francis county, ar",5123
AR,Saline,207,257,16,"saline county, ar",5125
AR,Scott,24,24,0,"scott county, ar",5127
AR,Sebastian,803,983,69,"sebastian county, ar",5131
AR,Stone,25,25,0,"stone county, ar",5137
AR,Union,111,166,16,"union county, ar",5139
AR,Van Buren,25,25,0,"van buren county, ar",5141
AR,Washington,900,1083,61,"washington county, ar",5143
AR,White,465,465,13,"white county, ar",5145
AR,Yell,55,66,0,"yell county, ar",5149
AZ,Apache,162,50,0,"apache county, az",4001
AZ,Cochise,135,160,12,"cochise county, az",4003
