FIPS,hospitals,icu_beds
1001,1,6
1003,3,51
1005,1,5
1007,1,0
1009,1,6
1011,1,0
1013,1,7
1015,2,24
1017,0,0
1019,1,0
1021,1,6
1023,1,0
1025,2,0
1027,1,4
1029,0,0
1031,1,7
1033,2,22
1035,1,0
1037,0,0
1039,2,13
1041,1,0
1043,1,12
1045,1,6
1047,1,18
1049,1,12
1051,2,5
1053,2,14
1055,2,56
1057,2,12
1059,2,7
1061,1,6
1063,1,0
1065,1,0
1067,0,0
1069,2,66
1071,1,10
1073,8,471
1075,0,0
1077,1,48
1079,1,6
1081,1,28
1083,1,10
1085,0,0
1087,0,0
1089,2,100
1091,1,5
1093,1,4
1095,1,20
1097,4,157
1099,1,8
1101,3,88
1103,1,34
1105,0,0
1107,1,4
1109,1,9
1111,1,0
1113,1,8
1115,1,6
1117,1,32
1119,1,0
1121,2,14
1123,2,6
1125,1,84
1127,1,12
1129,1,0
1131,1,0
1133,1,4
2013,0,0
2016,0,0
2020,3,73
2050,1,0
2060,0,0
2068,0,0
2070,1,0
2090,1,13
2100,0,0
2105,0,0
2110,1,9
2122,3,6
2130,1,4
2150,1,0
2158,0,0
2164,0,0
2170,1,14
2180,1,0
2185,1,0
2188,1,0
2195,1,0
2198,0,0
2220,2,0
2230,0,0
2240,0,0
2261,2,0
2275,1,0
2282,0,0
2290,0,0
4001,4,0
4003,4,12
4005,3,41
4007,3,8
4009,1,0
4011,0,0
4012,2,3
4013,34,1004
4015,4,80
4017,4,12
4019,9,296
4021,4,22
4023,1,0
4025,2,39
4027,1,42
5001,2,0
5003,1,6
5005,2,17
5007,3,30
5009,1,24
5011,1,0
5013,0,0
5015,2,0
5017,1,0
5019,1,0
5021,1,0
5023,1,0
5025,0,0
5027,1,6
5029,1,0
5031,2,66
5033,1,8
5035,1,0
5037,1,0
5039,1,0
5041,2,0
5043,1,5
5045,2,25
5047,1,0
5049,1,0
5051,3,41
5053,0,0
5055,1,8
5057,1,8
5059,1,6
5061,1,0
5063,1,12
5065,0,0
5067,0,0
5069,1,34
5071,1,8
5073,0,0
5075,1,0
5077,0,0
5079,0,0
5081,1,0
5083,2,0
5085,0,0
5087,0,0
5089,0,0
5091,0,0
5093,2,5
5095,0,0
5097,0,0
5099,0,0
5101,0,0
5103,1,8
5105,0,0
5107,1,6
5109,0,0
5111,0,0
5113,1,6
5115,1,11
5117,0,0
5119,8,209
5121,1,2
5123,1,6
5125,1,16
5127,1,0
5129,0,0
5131,2,69
5133,0,0
5135,0,0
5137,1,0
5139,1,16
5141,1,0
5143,3,61
5145,1,13
5147,0,0
5149,2,0
6001,12,282
6003,0,0
6005,1,6
6007,4,43
6009,1,0
6011,1,0
6013,7,163
6015,1,6
6017,2,28
6019,7,164
6021,1,0
6023,4,32
6025,2,28
6027,2,4
6029,10,144
6031,1,22
6033,2,8
6035,1,0
6037,76,2126
6039,1,10
6041,3,66
6043,1,0
6045,3,14
6047,2,24
6049,2,0
6051,1,2
6053,4,27
6055,2,32
6057,2,10
6059,24,651
6061,3,70
6063,3,0
6065,16,351
6067,8,396
6069,1,8
6071,18,410
6073,15,570
6075,10,337
6077,7,121
6079,3,46
6081,7,131
6083,5,82
6085,9,313
6087,3,22
6089,4,81
6091,0,0
6093,2,4
6095,4,92
6097,8,82
6099,5,88
6101,1,0
6103,1,8
6105,1,0
6107,4,51
6109,1,6
6111,7,139
6113,2,14
6115,1,24
8001,3,168
8003,1,6
8005,3,127
8007,1,0
8009,1,0
8011,0,0
8013,5,72
8014,1,20
8015,1,2
8017,1,0
8019,0,0
8021,1,0
8023,0,0
8025,0,0
8027,0,0
8029,1,6
8031,6,227
8033,0,0
8035,3,54
8037,1,5
8039,0,0
8041,3,95
8043,1,4
