Name,Score,TCI+,Jobs+,Trips/Week+,Routes,Transit Shed,Transit,Population,FIPS
"new york county, ny",9.9,52.6,2599093,22918,41,50,63,1653877,36061
"kings county, ny",9.7,34.5,1216216,12632,13,41,64,2635121,36047
"bronx county, ny",9.7,29.5,879842,12585,14,37,62,1455846,36005
"san francisco county, ca",9.6,31.7,653730,11896,26,37,36,864263,6075
"queens county, ny",9.4,23.8,864524,8911,13,41,53,2339280,36081
"district of columbia, dc",9.3,23.3,658064,8095,25,50,37,672391,11001
"suffolk county, ma",9.2,23.7,614647,7663,15,46,33,780614,25025
"hudson county, nj",9.1,19.1,1187924,4604,14,33,43,679756,34017
"philadelphia county, pa",9.0,20.2,378628,5879,12,52,26,1569657,42101
"arlington county, va",8.9,15.9,629260,5505,19,45,27,229534,51013
"richmond county, ny",8.6,12.3,257810,4786,13,35,30,475948,36085
"alexandria city, va",8.6,11.8,416204,4254,17,39,23,154710,51510
"falls church city, va",8.6,12.1,407904,2491,10,44,21,13843,51610
"multnomah county, or",8.6,12.3,221700,7298,9,44,12,788459,41051
"baltimore city, md",8.4,17.0,289911,3930,11,49,18,619796,24510
"st. louis city, mo",8.4,8.4,199125,4495,7,45,9,314867,29510
"denver county, co",7.8,10.3,294829,3294,11,51,7,678467,8031
"richmond city, va",7.7,9.0,140933,5564,10,28,5,220892,51760
"essex county, nj",7.5,10.0,231451,3022,9,40,21,800401,34013
"orleans parish, la",7.4,9.1,124481,1737,6,29,7,388182,22071
"cook county, il",7.3,12.5,352561,3722,7,42,19,5238541,17031
"westchester county, ny",7.3,8.5,156477,3498,8,29,23,975321,36119
"alameda county, ca",7.1,8.9,222025,2682,10,32,15,1629615,6001
"cuyahoga county, oh",7.0,5.1,110142,4229,4,28,5,1257401,39035
"montgomery county, md",6.9,8.6,228284,3054,10,48,16,1039198,24031
"charlottesville city, va",6.9,6.8,49863,2530,11,14,8,46487,51540
"salt lake county, ut",6.9,6.2,119546,2611,6,31,4,1106700,49035
"milwaukee county, wi",6.8,5.9,183465,2328,7,44,5,956586,55079
"los angeles county, ca",6.8,8.0,321664,2608,8,46,6,10105722,6037
"delaware county, pa",6.7,8.5,177848,1447,5,37,10,563384,42045
"santa clara county, ca",6.5,6.7,222227,1629,6,40,4,1911226,6085
"fairfax city, va",6.5,4.7,174963,1159,7,35,10,23580,51600
"washington county, or",6.5,5.3,110983,2578,4,25,6,572071,41067
"miami-dade county, fl",6.5,7.1,169478,1841,6,38,5,2702602,12086
"honolulu county, hi",6.4,5.9,146342,2575,11,26,8,990060,15003
"bergen county, nj",6.4,5.9,251232,1552,7,37,15,937920,34003
"union county, nj",6.4,6.0,154307,1042,5,30,12,557320,34039
"san mateo county, ca",6.1,6.5,183088,1411,8,27,10,763450,6081
"norfolk city, va",6.1,5.3,72788,1497,5,21,3,245752,51710
"king county, wa",6.1,6.0,233130,3051,10,30,14,2118119,53033
"ramsey county, mn",6.0,6.8,191877,1657,6,34,7,537893,27123
"passaic county, nj",6.0,5.6,153217,1317,6,38,9,510563,34031
"prince george's county, md",5.9,6.4,110582,1709,7,32,16,905161,24033
"nassau county, ny",5.9,5.5,139112,1101,5,28,17,1363069,36059
"arapahoe county, co",5.8,5.7,110792,1244,4,30,4,626612,8005
"dekalb county, ga",5.7,5.0,109867,1416,4,29,8,736066,13089
"bexar county, tx",5.7,3.4,108383,2582,8,31,2,1892004,48029
"fairfax county, va",5.7,5.1,153102,1401,7,26,10,1142004,51059
"fulton county, ga",5.6,6.4,171216,2329,8,26,8,1010420,13121
"hennepin county, mn",5.5,6.3,199848,1996,9,34,7,1224763,27053
"champaign county, il",5.4,5.3,46147,3720,11,19,6,207946,17019
"middlesex county, ma",5.3,6.8,230700,1864,6,23,12,1582857,25017
"albany county, ny",5.3,4.3,95883,2218,8,21,6,308580,36001
"harrisonburg city, va",5.3,3.1,29781,1335,13,11,2,53064,51660
"san diego county, ca",5.3,5.1,82735,1358,4,19,3,3283665,6073
"dallas county, tx",5.2,5.3,143358,1269,5,24,2,2552213,48113
"weber county, ut",5.2,3.0,45235,1563,3,19,1,244101,49057
"camden county, nj",5.2,4.6,145662,930,4,28,7,510996,34007
"allegheny county, pa",5.2,5.2,161554,1717,7,36,9,1229605,42003
"boulder county, co",5.1,3.8,73569,1633,8,24,5,316782,8013
"st. louis county, mo",5.1,3.1,82218,1356,3,24,2,999539,29189
"st. clair county, il",5.1,3.8,31231,1510,3,16,4,264433,17163
"rock island county, il",5.1,3.6,35640,1085,6,20,1,146205,17161
"broward county, fl",5.0,3.5,116570,979,4,33,2,1890416,12011
"contra costa county, ca",5.0,4.0,91167,1068,7,26,11,1123678,6013
"providence county, ri",5.0,3.9,87714,1078,5,21,3,633704,44007
"norfolk county, ma",4.9,6.8,159808,1353,3,22,15,694389,25021
"clackamas county, or",4.9,3.4,61128,2131,4,21,3,399962,41005
"davis county, ut",4.9,2.5,54698,1129,3,19,2,334977,49011
"santa cruz county, ca",4.8,4.1,33599,1269,6,15,2,273263,6087
"washtenaw county, mi",4.8,3.1,61656,2282,6,15,5,361509,26161
"sacramento county, ca",4.8,4.1,93403,729,6,22,2,1495400,6067
"marion county, in",4.8,2.5,107458,1486,3,22,1,939964,18097
"hampton city, va",4.8,2.6,36193,963,5,15,2,136255,51650
"clark county, nv",4.8,3.2,119359,1070,3,27,3,2112436,32003
"marin county, ca",4.8,3.6,79497,1153,10,17,10,260814,6041
"williamsburg city, va",4.7,3.2,15784,695,5,9,6,14817,51830
"roanoke city, va",4.7,2.9,49891,675,10,17,3,99572,51770
"schenectady county, ny",4.7,3.7,40791,1152,3,16,4,155239,36093
"newport news city, va",4.7,2.8,41070,910,6,15,3,180775,51700
"pitkin county, co",4.7,0.0,13576,5293,13,10,16,17747,8097
"marion county, or",4.6,3.4,43138,1386,5,12,1,330453,41047
"hartford county, ct",4.6,2.8,93246,1835,5,23,3,897417,9003
"new haven county, ct",4.6,3.1,59527,1091,4,19,4,862127,9009
"pinellas county, fl",4.6,2.4,82372,763,4,30,1,949842,12103
"yolo county, ca",4.6,3.6,77241,661,10,16,4,212605,6113
"mercer county, nj",4.6,3.9,58713,824,5,19,8,373362,34021
"adams county, co",4.5,3.2,93889,843,4,28,4,487850,8001
"montgomery county, pa",4.5,4.0,95700,680,3,21,5,818677,42091
"hamilton county, oh",4.5,3.5,130033,1019,5,35,3,808703,39061
"fairfield county, ct",4.5,4.0,67611,734,4,17,11,947328,9001
"jefferson county, co",4.5,3.5,94547,766,4,27,3,564029,8059
"bernalillo county, nm",4.5,2.9,105638,804,5,30,1,674855,35001
"maricopa county, az",4.4,3.1,100236,1146,3,25,2,4155501,4013
"hampden county, ma",4.4,2.5,54176,1269,4,14,2,469188,25013
"san bernardino county, ca",4.4,3.1,44660,1098,3,17,1,2121220,6071
"franklin county, oh",4.4,3.1,107604,1055,3,21,2,1253507,39049
"mecklenburg county, nc",4.4,2.7,116365,1115,4,23,3,1034290,37119
"new castle county, de",4.4,2.5,72686,878,5,20,4,555036,10003
"montgomery county, oh",4.4,2.9,70677,760,4,28,2,531987,39113
"baltimore county, md",4.4,5.0,83893,902,3,16,5,828637,24005
"fredericksburg city, va",4.3,3.0,31838,387,7,13,4,28135,51630
"radford city, va",4.3,2.8,8275,725,4,6,0,17380,51750
"ingham county, mi",4.3,2.8,69396,878,4,18,3,286185,26065
"nueces county, tx",4.3,2.8,38724,748,4,15,1,358484,48355
"douglas county, ks",4.3,2.5,26769,1298,6,10,2,117806,20045
"santa barbara county, ca",4.3,2.5,31301,718,5,10,3,442996,6083
"erie county, ny",4.3,3.8,84023,892,4,23,3,923995,36029
"jefferson county, ky",4.3,2.9,99721,704,4,22,2,764378,21111
"snohomish county, wa",4.3,2.5,71302,1004,5,22,5,771904,53061
"orange county, ca",4.2,2.7,172595,528,4,32,2,3155816,6059
"alachua county, fl",4.2,3.2,52308,1522,6,24,4,259865,12001
"tippecanoe county, in",4.2,3.3,35306,1130,5,13,3,186081,18157
"travis county, tx",4.2,3.1,126650,1400,4,18,3,1176584,48453
"lane county, or",4.2,2.8,53123,1199,6,18,3,363471,41039
"story county, ia",4.2,3.2,20856,1223,7,9,5,95888,19169
"spokane county, wa",4.2,3.8,56446,940,4,16,2,490764,53063
"durham county, nc",4.2,2.7,52817,1088,6,15,3,300865,37063
"orange county, fl",4.2,3.6,152899,1038,4,32,2,1290216,12095
"monterey county, ca",4.2,2.4,33243,870,6,16,1,433168,6053
"el paso county, tx",4.1,2.8,42387,769,5,16,1,834825,48141
"wayne county, mi",4.1,3.1,93998,918,4,36,3,1763822,26163
"douglas county, ne",4.1,3.4,63332,1232,3,14,1,549706,31055
"tulare county, ca",4.1,2.5,29351,885,8,19,0,458809,6107
"franklin county, wa",4.1,2.8,26747,719,5,15,0,89124,53021
"webb county, tx",4.1,2.7,40784,672,5,16,1,269624,48479
"middlesex county, nj",4.1,3.0,58041,505,4,15,9,837288,34023
"nantucket county, ma",4.0,4.0,3470,592,3,5,1,10912,25019
"manassas city, va",4.0,2.8,20253,227,3,7,3,41379,51683
"solano county, ca",3.9,2.3,25574,597,5,12,3,434981,6095
"harris county, tx",3.9,3.4,137574,1196,3,20,2,4525519,48201
"portsmouth city, va",3.9,2.8,28802,463,3,9,2,95536,51740
"essex county, ma",3.8,2.9,44523,563,4,11,6,775860,25009
"atlantic county, nj",3.8,2.9,27039,804,3,14,6,272926,34001
"suffolk county, ny",3.8,1.7,61720,431,3,25,6,1497595,36103
"duval county, fl",3.8,2.3,54749,790,3,17,2,912043,12031
"benton county, wa",3.8,2.6,29425,614,4,16,1,190529,53005
"fayette county, ky",3.8,2.0,52947,609,3,10,2,315109,21067
"mclean county, il",3.7,2.8,36298,893,4,10,1,173231,17113
"pima county, az",3.7,2.5,56905,885,4,20,2,1007257,4019
"kent county, mi",3.7,2.7,58890,990,3,16,2,636376,26081
"clarke county, ga",3.7,2.5,34713,1432,8,14,4,123554,13059
"dane county, wi",3.7,2.9,83340,1031,6,17,5,522837,55025
"utah county, ut",3.7,1.9,35885,1082,2,9,2,576496,49049
"davidson county, tn",3.6,2.2,86746,683,4,15,2,678322,47037
"lynchburg city, va",3.6,2.3,29221,416,5,15,3,79237,51680
"clark county, wa",3.6,1.8,37587,750,3,12,2,457474,53011
"ketchikan gateway borough, ak",3.6,1.5,9157,309,2,8,3,13745,2130
"dukes county, ma",3.6,2.5,2851,1048,5,6,4,17275,25007
"lehigh county, pa",3.6,2.1,46419,544,4,15,2,360774,42077
"stanislaus county, ca",3.6,2.7,34836,540,4,13,0,535684,6099
"monongalia county, wv",3.5,6.6,29486,617,6,14,2,103715,54061
"orange county, nc",3.5,2.2,45233,1191,7,15,7,141812,37135
"anchorage municipality, ak",3.5,2.6,53537,696,2,9,1,298225,2020
"missoula county, mt",3.5,2.4,26057,717,4,9,2,114231,30063
"jackson county, mo",3.5,2.9,71586,865,4,20,2,688554,29095
"monroe county, ny",3.5,2.3,87248,558,4,22,3,748680,36055
"campbell county, ky",3.5,2.4,73897,501,4,13,2,91804,21037
"rensselaer county, ny",3.5,2.2,38859,891,3,11,3,159800,36083
"centre county, pa",3.5,3.3,17507,1022,6,13,5,160646,42027
"whatcom county, wa",3.5,3.0,20950,846,5,14,2,212738,53073
